pool,rank,seed,n_cells,n_genes,reconstruction_error,normalized_reconstruction_error,converged_or_max_iter,factor_stability,selection_score,n_source_cells_before_pool_sampling,n_source_donors_before_pool_sampling
broad_lam_like,4,0,6000,2000,2215.491943359375,0.6183830499649048,125,0.999999326467514,0.8853697349233942,8727,4
broad_lam_like,4,1,6000,2000,2215.4921875,0.6183831095695496,127,0.999999326467514,0.8853697280962559,8727,4
broad_lam_like,4,2,6000,2000,2215.4921875,0.6183831095695496,70,0.999999326467514,0.8853697280962559,8727,4
broad_lam_like,4,3,6000,2000,2215.4921875,0.6183831095695496,78,0.999999326467514,0.8853697280962559,8727,4
broad_lam_like,4,4,6000,2000,2215.491943359375,0.6183830499649048,85,0.999999326467514,0.8853697349233942,8727,4
broad_lam_like,5,0,6000,2000,2169.331787109375,0.6054989099502563,95,0.9999991536140442,0.8868572111326344,8727,4
broad_lam_like,5,1,6000,2000,2169.33203125,0.6054990291595459,189,0.9999991536140442,0.8868571972583276,8727,4
broad_lam_like,5,2,6000,2000,2169.33203125,0.6054990291595459,133,0.9999991536140442,0.8868571972583276,8727,4
broad_lam_like,5,3,6000,2000,2169.33203125,0.6054990291595459,111,0.9999991536140442,0.8868571972583276,8727,4
broad_lam_like,5,4,6000,2000,2169.33203125,0.6054990291595459,97,0.9999991536140442,0.8868571972583276,8727,4
broad_lam_like,6,0,6000,2000,2131.250244140625,0.5948696732521057,125,0.9163004577159881,0.8295134645209671,8727,4
broad_lam_like,6,1,6000,2000,2131.250244140625,0.5948696732521057,112,0.9163004577159881,0.8295134645209671,8727,4
broad_lam_like,6,2,6000,2000,2131.71533203125,0.5949994921684265,129,0.9163004577159881,0.8294981545810918,8727,4
broad_lam_like,6,3,6000,2000,2131.25048828125,0.5948697924613953,115,0.9163004577159881,0.8295134504611095,8727,4
broad_lam_like,6,4,6000,2000,2131.250244140625,0.5948696732521057,128,0.9163004577159881,0.8295134645209671,8727,4
unrestricted_lam,2,0,6000,2000,2415.499755859375,0.7153382301330566,24,0.9999993920326233,0.8748921960236091,23759,4
unrestricted_lam,2,1,6000,2000,2415.499755859375,0.7153382301330566,24,0.9999993920326233,0.8748921960236091,23759,4
unrestricted_lam,2,2,6000,2000,2415.499755859375,0.7153382301330566,25,0.9999993920326233,0.8748921960236091,23759,4
unrestricted_lam,2,3,6000,2000,2415.499755859375,0.7153382301330566,25,0.9999993920326233,0.8748921960236091,23759,4
unrestricted_lam,2,4,6000,2000,2415.499755859375,0.7153382301330566,25,0.9999993920326233,0.8748921960236091,23759,4
unrestricted_lam,3,0,6000,2000,2358.6572265625,0.698504626750946,66,0.9999999165534973,0.8766258955442926,23759,4
unrestricted_lam,3,1,6000,2000,2358.6572265625,0.698504626750946,148,0.9999999165534973,0.8766258955442926,23759,4
unrestricted_lam,3,2,6000,2000,2358.6572265625,0.698504626750946,68,0.9999999165534973,0.8766258955442926,23759,4
unrestricted_lam,3,3,6000,2000,2358.6572265625,0.698504626750946,59,0.9999999165534973,0.8766258955442926,23759,4
unrestricted_lam,3,4,6000,2000,2358.6572265625,0.698504626750946,57,0.9999999165534973,0.8766258955442926,23759,4
unrestricted_lam,4,0,6000,2000,2321.956787109375,0.6876359581947327,233,0.9999978184700012,0.8777619286928319,23759,4
unrestricted_lam,4,1,6000,2000,2321.956298828125,0.6876358389854431,124,0.9999978184700012,0.8777619412494835,23759,4
unrestricted_lam,4,2,6000,2000,2321.956787109375,0.6876359581947327,218,0.9999978184700012,0.8777619286928319,23759,4
unrestricted_lam,4,3,6000,2000,2321.95654296875,0.6876358985900879,187,0.9999978184700012,0.8777619349711575,23759,4
unrestricted_lam,4,4,6000,2000,2321.95654296875,0.6876358985900879,159,0.9999978184700012,0.8777619349711575,23759,4
unrestricted_lam,5,0,6000,2000,2279.827392578125,0.6751595735549927,204,0.9999995529651642,0.8790871034244618,23759,4
unrestricted_lam,5,1,6000,2000,2279.82763671875,0.6751596331596375,389,0.9999995529651642,0.8790870970522681,23759,4
unrestricted_lam,5,2,6000,2000,2279.82763671875,0.6751596331596375,173,0.9999995529651642,0.8790870970522681,23759,4
unrestricted_lam,5,3,6000,2000,2279.827392578125,0.6751595735549927,194,0.9999995529651642,0.8790871034244618,23759,4
unrestricted_lam,5,4,6000,2000,2279.827392578125,0.6751595735549927,156,0.9999995529651642,0.8790871034244618,23759,4
unrestricted_lam,6,0,6000,2000,2248.570556640625,0.6659029722213745,116,0.963609379529953,0.8546090824816366,23759,4
unrestricted_lam,6,1,6000,2000,2248.57275390625,0.665903627872467,94,0.963609379529953,0.8546090116064089,23759,4
unrestricted_lam,6,2,6000,2000,2248.505859375,0.6658838391304016,210,0.963609379529953,0.8546111507742125,23759,4
unrestricted_lam,6,3,6000,2000,2248.572509765625,0.6659035682678223,109,0.963609379529953,0.8546090180496091,23759,4
unrestricted_lam,6,4,6000,2000,2248.506103515625,0.6658838987350464,131,0.963609379529953,0.8546111443308596,23759,4
