pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_5,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.23745779537738054
high_confidence,program_6,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.2237256608597454
high_confidence,program_1,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.273025040077465
high_confidence,program_2,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,0.48819022582357213
high_confidence,program_3,normal_lung_interstitial,lineage/reference,reference,gene_set,1,DCN,0.017543859649122806,0.42755212293046335
high_confidence,program_4,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.24177172318123727
high_confidence,program_5,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.21746864304402966
high_confidence,program_6,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.2350148359424482
broad_lam_like,program_1,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.09859664071006068
broad_lam_like,program_2,CORE1,LAMCORE-specific,established,gene_set,2,"ACTA2,TAGLN",0.03571428571428571,0.5553619075288281
broad_lam_like,program_3,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.20118964320614363
broad_lam_like,program_4,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.3289784893909163
broad_lam_like,program_5,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.22962055062963088
broad_lam_like,program_1,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.017172274379348457
broad_lam_like,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.15511419894425568
broad_lam_like,program_3,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.03939251911015557
broad_lam_like,program_4,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.018662763946483227
broad_lam_like,program_5,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.3643081664133217
broad_lam_like,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.1177254233592222
