source,pool,program,donor_id,n_cells_scored,candidate_cells_scored,background_cells_scored,candidate_mean,background_mean,candidate_minus_background,direction,qc_view
adata_obs,all_cells,MDK_dormancy_persistence,LAM1,7827,31,7796,0.09029455096971603,0.06647409565902243,0.0238204553106936,near_zero_or_unavailable,baseline
adata_obs,all_cells,MDK_dormancy_persistence,LAM2,7126,4,7122,0.13765974596142766,-0.03584853058149106,0.17350827654291873,positive,baseline
adata_obs,all_cells,MDK_dormancy_persistence,LAM3,7016,84,6932,0.0011394811433459086,-0.01090417646254988,0.01204365760589579,near_zero_or_unavailable,baseline
adata_obs,all_cells,MDK_dormancy_persistence,LAM4,1259,21,1238,-0.033032622441412925,-0.00045022865676099894,-0.03258239378465193,near_zero_or_unavailable,baseline
adata_obs,all_cells,MDK_dormancy_persistence,Donor1,6178,0,6178,,0.04183222523395478,,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,MDK_dormancy_persistence,LAM1,7104,28,7076,0.0883084186361659,0.06774997982133159,0.02055843881483431,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,MDK_dormancy_persistence,LAM2,4955,1,4954,0.1666379505395889,-0.036254165929042445,0.20289211646863137,positive,strict_qc
adata_obs,all_cells,MDK_dormancy_persistence,LAM3,6064,52,6012,0.017272220047620628,-0.014744381389447858,0.032016601437068484,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,MDK_dormancy_persistence,LAM4,898,4,894,-0.044344525287548696,0.003537379267537308,-0.047881904555086,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,hypoxia_stress,Donor1,7480,0,7480,,0.036551333192882,,near_zero_or_unavailable,baseline
adata_obs,all_cells,hypoxia_stress,LAM1,7827,31,7796,0.09029455096971603,0.06647409565902243,0.0238204553106936,near_zero_or_unavailable,baseline
adata_obs,all_cells,hypoxia_stress,LAM2,7126,4,7122,0.13765974596142766,-0.03584853058149106,0.17350827654291873,positive,baseline
adata_obs,all_cells,hypoxia_stress,LAM3,7016,84,6932,0.0011394811433459086,-0.01090417646254988,0.01204365760589579,near_zero_or_unavailable,baseline
