cohort,cohort_type,n_cells,n_datasets,n_patients,feature,n,mean,median,q05,q25,q75,q95,detection_fraction_score_gt_0
State_11,consensus_state,3,1,1,gene_ACTG2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_11,consensus_state,3,1,1,gene_MYH11,3,1.0021243890126545,1.2072845697402954,0.12072845697402955,0.6036422848701477,1.503186583518982,1.739908194541931,0.6666666666666666
State_11,consensus_state,3,1,1,gene_VEGFD,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_11,consensus_state,3,1,1,gene_CTSK,3,0.419682780901591,0.0,0.0,0.0,0.6295241713523865,1.1331435084342956,0.3333333333333333
State_11,consensus_state,3,1,1,gene_EMX2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_11,consensus_state,3,1,1,gene_HOXA11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_11,consensus_state,3,1,1,gene_ESR1,3,1.803664207458496,2.147824764251709,1.1538253545761108,1.5956028699874878,2.183805823326111,2.2125906705856324,1.0
State_12,consensus_state,605,4,9,melanocytic_identity,605,0.4210443969969907,0.4143278896808624,0.0,0.23857951164245605,0.6208788752555847,0.8442907810211178,0.8694214876033057
State_12,consensus_state,605,4,9,contractile_marker_panel,605,0.15633682079059033,0.0,0.0,0.0,0.22843027114868164,0.5995264887809754,0.4049586776859504
State_12,consensus_state,605,4,9,VEGFD_CTSK_panel,605,0.24794633903286672,0.1460196077823639,0.0,0.0,0.41875794529914856,0.8641305446624751,0.5421487603305785
State_12,consensus_state,605,4,9,ESR1_hormone_marker,605,0.49288389687695777,0.3767215311527252,0.0,0.0,0.8603848814964294,1.51685357093811,0.5305785123966942
State_12,consensus_state,605,4,9,HOX_PBX_markers,605,0.002967072407568782,0.0,0.0,0.0,0.0,0.0,0.011570247933884297
State_12,consensus_state,605,4,9,CORE1,605,0.24039893293953385,0.1728675812482834,0.0,0.07134319841861725,0.31908124685287476,0.6931618690490722,0.8198347107438017
State_12,consensus_state,605,4,9,CORE2,605,0.2916849541023743,0.2693670392036438,0.07036392241716385,0.15586265921592712,0.40462827682495117,0.5799776673316955,0.9884297520661157
State_12,consensus_state,605,4,9,CORE3_identity,605,0.3641445764948514,0.3403834402561188,0.14527157247066497,0.25901782512664795,0.44340911507606506,0.6736906766891476,1.0
State_12,consensus_state,605,4,9,LAM_myogenic_contractile,605,0.2573090139807256,0.17532022297382355,0.0,0.07251740247011185,0.32473692297935486,0.8131940484046919,0.8198347107438017
State_12,consensus_state,605,4,9,ECM_remodeling,605,0.3187138519503854,0.2652188837528229,0.0,0.12189331650733948,0.4353201687335968,0.8382564544677732,0.915702479338843
State_12,consensus_state,605,4,9,mTOR_translation,605,0.6207095775353022,0.4993753433227539,0.14602959752082825,0.3387176990509033,0.7756122350692749,1.7189789295196518,0.9851239669421488
State_12,consensus_state,605,4,9,hormone_related,605,0.4473664706649859,0.4519824981689453,0.0,0.3105851709842682,0.5854827761650085,0.7902218580245963,0.9421487603305785
State_12,consensus_state,605,4,9,hypoxia_stress,605,0.31498238830403846,0.2841933071613312,0.06540279984474183,0.18198911845684052,0.4034881889820099,0.6886530160903926,0.9702479338842975
State_12,consensus_state,605,4,9,protease_ECM_niche,605,0.31381556472071437,0.2679468095302582,0.0,0.143153116106987,0.44486579298973083,0.7245151877403259,0.943801652892562
State_12,consensus_state,605,4,9,HOX_PBX,605,0.2347258340844438,0.20734083652496338,0.0,0.08776325732469559,0.35280925035476685,0.5852772116661071,0.8066115702479338
State_12,consensus_state,605,4,9,normal_lung_interstitial,605,0.19792165824573887,0.08333612233400345,0.0,0.0,0.24625855684280396,0.8149471163749694,0.6413223140495867
State_12,consensus_state,605,4,9,LAMCORE_777,605,0.24835146177898754,0.23533955216407776,0.16064929366111758,0.20444749295711517,0.2862887680530548,0.375666868686676,1.0
State_12,consensus_state,605,4,9,ciliated,605,0.07687099239950584,0.05496659502387047,0.0,0.0,0.11046075820922852,0.21953124105930297,0.7388429752066116
State_12,consensus_state,605,4,9,AT2,605,1.3127596494703253,1.2016801834106445,0.14897829294204715,0.674375593662262,1.8252066373825073,2.8567294120788564,0.9537190082644628
State_12,consensus_state,605,4,9,macrophage,605,0.36565052284743665,0.15032857656478882,0.0,0.054652538150548935,0.4406810998916626,1.5682208061218252,0.7966942148760331
State_12,consensus_state,605,4,9,endothelial,605,0.33041796659327244,0.16411028802394867,0.0,0.0,0.5531156063079834,1.1858314275741575,0.7487603305785124
State_12,consensus_state,605,4,9,fibroblast,605,0.21625348654660312,0.08298677951097488,0.0,0.0,0.27168509364128113,0.9106176257133478,0.7074380165289256
State_12,consensus_state,605,4,9,mesothelial,605,0.04694358938766166,0.0,0.0,0.0,0.06846024096012115,0.22039887607097625,0.3256198347107438
State_12,consensus_state,605,4,9,pericyte_VSMC,605,0.19451879634683536,0.13348910212516785,0.0,0.053687937557697296,0.24295537173748016,0.5860514640808099,0.8363636363636363
State_12,consensus_state,605,4,9,gene_PMEL,605,0.05714843576112069,0.0,0.0,0.0,0.0,0.47569822669029094,0.07272727272727272
State_12,consensus_state,605,4,9,gene_MLANA,605,0.045666281829688175,0.0,0.0,0.0,0.0,0.3989749729633327,0.07107438016528926
State_12,consensus_state,605,4,9,gene_MITF,605,1.1603184755922349,1.1349573135375977,0.0,0.5967916250228882,1.752618670463562,2.4279428482055665,0.8347107438016529
State_12,consensus_state,605,4,9,gene_ACTA2,605,0.29710227326174415,0.0,0.0,0.0,0.4726209044456482,1.499128985404965,0.315702479338843
State_12,consensus_state,605,4,9,gene_ACTG2,605,0.02586655380312076,0.0,0.0,0.0,0.0,0.0,0.03140495867768595
