comparison,target_state,comparator_state,feature,n_target,n_comparator,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
State_15_vs_State_12,State_15,State_12,gene_EMX2,200,605,0.4210773855447769,0.0,0.4210773855447769,93656.5,2.79822480939812e-80
State_15_vs_State_12,State_15,State_12,gene_HOXA11,200,605,0.0,0.0,0.0,84337.0,2.295947644952584e-58
State_15_vs_State_12,State_15,State_12,gene_ESR1,200,605,0.47882020473480225,0.3767215311527252,0.10209867358207703,63358.5,0.29119193700204893
State_15_vs_State_12,State_15,State_12,melanocytic_identity,200,605,1.1275132894515991,0.4143278896808624,0.7131853997707367,108407.5,1.920654258992938e-63
State_15_vs_State_12,State_15,State_12,contractile_marker_panel,200,605,2.068992853164673,0.0,2.068992853164673,115547.0,1.0084928808287359e-91
State_15_vs_State_12,State_15,State_12,VEGFD_CTSK_panel,200,605,1.942033290863037,0.1460196077823639,1.7960136830806732,119508.5,3.5216491689688943e-99
State_15_vs_State_12,State_15,State_12,ESR1_hormone_marker,200,605,0.47882020473480225,0.3767215311527252,0.10209867358207703,63358.5,0.29119193700204893
State_15_vs_State_12,State_15,State_12,CORE1,200,605,2.008028030395508,0.1728675812482834,1.8351604491472244,117438.0,5.828910346381179e-89
State_15_vs_State_12,State_15,State_12,CORE2,200,605,1.1634118556976318,0.2693670392036438,0.894044816493988,119196.0,3.443668439185198e-94
State_15_vs_State_12,State_15,State_12,CORE3_identity,200,605,1.6109884977340698,0.3403834402561188,1.270605057477951,120656.0,7.765440604562714e-99
State_15_vs_State_12,State_15,State_12,HOX_PBX,200,605,0.314716175198555,0.20734083652496338,0.10737533867359161,80503.5,2.073669402871875e-12
State_15_vs_State_12,State_15,State_12,LAMCORE_777,200,605,0.512529730796814,0.23533955216407776,0.2771901786327362,117613.0,2.7994724985679636e-89
State_15_vs_State_12,State_15,State_12,ECM_remodeling,200,605,1.5745034217834473,0.2652188837528229,1.3092845380306244,118293.0,2.1455615729615246e-91
State_15_vs_State_12,State_15,State_12,mTOR_translation,200,605,1.8646366000175476,0.4993753433227539,1.3652612566947937,115830.0,6.566583469447647e-84
State_15_vs_State_12,State_15,State_12,hormone_related,200,605,0.17859980463981628,0.4519824981689453,-0.27338269352912903,21774.0,4.766621026741761e-42
State_15_vs_State_12,State_15,State_12,hypoxia_stress,200,605,0.44189926981925964,0.2841933071613312,0.15770596265792847,81581.0,1.4172986069176015e-13
State_15_vs_State_12,State_15,State_12,protease_ECM_niche,200,605,1.0222324132919312,0.2679468095302582,0.754285603761673,118150.0,6.162151347963898e-91
State_15_vs_State_12,State_15,State_12,ciliated,200,605,0.0,0.05496659502387047,-0.05496659502387047,32480.5,1.2825278505472225e-23
State_15_vs_State_12,State_15,State_12,AT2,200,605,0.3526631295681,1.2016801834106445,-0.8490170538425446,27271.0,2.09274936303843e-31
State_15_vs_State_12,State_15,State_12,macrophage,200,605,0.380711168050766,0.15032857656478882,0.23038259148597717,88726.5,3.436424475196876e-23
State_15_vs_State_12,State_15,State_12,endothelial,200,605,0.0,0.16411028802394867,-0.16411028802394867,27966.0,3.3103107481887232e-31
State_15_vs_State_12,State_15,State_12,fibroblast,200,605,1.1730241179466248,0.08298677951097488,1.0900373384356499,115173.0,7.820753567032671e-83
State_15_vs_State_12,State_15,State_12,mesothelial,200,605,0.0860767513513565,0.0,0.0860767513513565,80099.0,7.796984478568363e-15
State_15_vs_State_12,State_15,State_12,pericyte_VSMC,200,605,1.87710839509964,0.13348910212516785,1.743619292974472,119784.0,3.1906481360927476e-96
State_15_vs_State_7,State_15,State_7,gene_PMEL,200,576,2.5778037309646606,0.0,2.5778037309646606,110208.5,2.074965736655352e-124
State_15_vs_State_7,State_15,State_7,gene_MLANA,200,576,0.0,0.0,0.0,59797.0,0.09414162894354348
State_15_vs_State_7,State_15,State_7,gene_MITF,200,576,0.7259965240955353,0.8162449896335602,-0.0902484655380249,51708.5,0.02999934805368446
State_15_vs_State_7,State_15,State_7,gene_ACTA2,200,576,3.576776146888733,0.0,3.576776146888733,110278.0,4.415668781049678e-99
State_15_vs_State_7,State_15,State_7,gene_ACTG2,200,576,0.0,0.0,0.0,74736.0,4.2477743017023466e-36
State_15_vs_State_7,State_15,State_7,gene_MYH11,200,576,2.3027658462524414,0.0,2.3027658462524414,105559.0,9.42464762005933e-108
State_15_vs_State_7,State_15,State_7,gene_VEGFD,200,576,0.0,0.0,0.0,71179.0,1.879442100095199e-16
State_15_vs_State_7,State_15,State_7,gene_CTSK,200,576,3.648732900619507,0.0,3.648732900619507,114260.5,4.616155633581496e-105
State_15_vs_State_7,State_15,State_7,gene_EMX2,200,576,0.4210773855447769,0.0,0.4210773855447769,89522.5,1.5699254395663843e-81
State_15_vs_State_7,State_15,State_7,gene_HOXA11,200,576,0.0,0.0,0.0,80352.0,9.510065380810389e-57
State_15_vs_State_7,State_15,State_7,gene_ESR1,200,576,0.47882020473480225,0.0,0.47882020473480225,66088.5,0.0008217389559253838
State_15_vs_State_7,State_15,State_7,melanocytic_identity,200,576,1.1275132894515991,0.2990124970674515,0.8285007923841476,106127.0,9.72518808832335e-71
State_15_vs_State_7,State_15,State_7,contractile_marker_panel,200,576,2.068992853164673,0.0,2.068992853164673,111067.5,4.00634544841942e-98
State_15_vs_State_7,State_15,State_7,VEGFD_CTSK_panel,200,576,1.942033290863037,0.0,1.942033290863037,114244.0,2.1504136461671664e-102
State_15_vs_State_7,State_15,State_7,ESR1_hormone_marker,200,576,0.47882020473480225,0.0,0.47882020473480225,66088.5,0.0008217389559253838
State_15_vs_State_7,State_15,State_7,CORE1,200,576,2.008028030395508,0.0,2.008028030395508,114522.0,5.811106328890871e-102
State_15_vs_State_7,State_15,State_7,CORE2,200,576,1.1634118556976318,0.16660357266664505,0.9968082830309868,114518.0,1.8717403248640135e-96
State_15_vs_State_7,State_15,State_7,CORE3_identity,200,576,1.6109884977340698,0.26300519704818726,1.3479833006858826,115112.0,1.9485621374173865e-98
State_15_vs_State_7,State_15,State_7,HOX_PBX,200,576,0.314716175198555,0.09986261650919914,0.21485355868935585,89971.5,4.5904037359713734e-33
State_15_vs_State_7,State_15,State_7,LAMCORE_777,200,576,0.512529730796814,0.16825088113546371,0.34427884966135025,114482.0,2.468658727622867e-96
State_15_vs_State_7,State_15,State_7,ECM_remodeling,200,576,1.5745034217834473,0.07984046638011932,1.494662955403328,114770.0,8.720226666907074e-98
State_15_vs_State_7,State_15,State_7,mTOR_translation,200,576,1.8646366000175476,0.6179116368293762,1.2467249631881714,98570.0,7.253485968800924e-51
State_15_vs_State_7,State_15,State_7,hormone_related,200,576,0.17859980463981628,0.37301404774188995,-0.19441424310207367,32960.0,1.7999462186992724e-19
State_15_vs_State_7,State_15,State_7,hypoxia_stress,200,576,0.44189926981925964,0.23673609644174576,0.20516317337751389,83382.0,3.642245883132986e-21
State_15_vs_State_7,State_15,State_7,protease_ECM_niche,200,576,1.0222324132919312,0.1724776178598404,0.8497547954320908,114230.0,1.63792472342961e-95
State_15_vs_State_7,State_15,State_7,ciliated,200,576,0.0,0.06429227814078331,-0.06429227814078331,28524.0,2.1142738449981315e-27
State_15_vs_State_7,State_15,State_7,AT2,200,576,0.3526631295681,2.0410906076431274,-1.6884274780750275,15823.0,8.000548404060867e-53
State_15_vs_State_7,State_15,State_7,macrophage,200,576,0.380711168050766,0.05273682810366154,0.32797433994710445,105855.0,2.7028888222137806e-71
State_15_vs_State_7,State_15,State_7,endothelial,200,576,0.0,0.0,0.0,58381.0,0.749502604239241
