removed_patient,target_group,comparator_group,feature,target_cells,comparator_cells,target_mean,comparator_mean,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
LAM1163,State_15_without_LAM1163,State_18,mTOR_translation,73,153,1.6442077119056493,1.63617588862095,1.7317545413970947,1.7125409841537476,0.019213557243347168,5555.0,0.9496939095951815
LAM1163,State_15_without_LAM1163,State_20,mTOR_translation,73,702,1.6442077119056493,1.3814604320481123,1.7317545413970947,1.6609134078025818,0.07084113359451294,29344.0,0.040976336647699195
LAM1163,State_15_without_LAM1163,State_12,mTOR_translation,73,577,1.6442077119056493,0.560793405660207,1.7317545413970947,0.479473739862442,1.2522808015346527,40557.0,4.6649074230900685e-38
LAM1163,State_15_without_LAM1163,State_7,mTOR_translation,73,521,1.6442077119056493,0.768338499923242,1.7317545413970947,0.5964411497116089,1.1353133916854858,32823.0,8.861007948273533e-24
LAM1163,State_15_without_LAM1163,State_5,mTOR_translation,73,853,1.6442077119056493,1.5313136682770316,1.7317545413970947,1.5457149744033813,0.18603956699371338,42974.0,6.740210120412121e-08
LAM1163,State_15_without_LAM1163,State_18,hormone_related,73,153,0.19522594497220158,0.1776084463580761,0.16372959315776825,0.14590144157409668,0.01782815158367157,6016.0,0.3452876946765181
LAM1163,State_15_without_LAM1163,State_20,hormone_related,73,702,0.19522594497220158,0.288297163104994,0.16372959315776825,0.19847983866930008,-0.03475024551153183,22027.5,0.04625227311672976
LAM1163,State_15_without_LAM1163,State_12,hormone_related,73,577,0.19522594497220158,0.4664370121185763,0.16372959315776825,0.4637503921985626,-0.3000207990407944,6297.0,1.5625891889637502e-22
LAM1163,State_15_without_LAM1163,State_7,hormone_related,73,521,0.19522594497220158,0.3967801646299074,0.16372959315776825,0.4039077162742615,-0.24017812311649323,8708.0,6.032811201884642e-14
LAM1163,State_15_without_LAM1163,State_5,hormone_related,73,853,0.19522594497220158,0.029296627429784533,0.16372959315776825,0.0,0.16372959315776825,52610.0,2.8384826427702264e-30
LAM1163,State_15_without_LAM1163,State_18,protease_ECM_niche,73,153,0.9327459633350372,0.375704140347593,0.9197013974189758,0.34927743673324585,0.57042396068573,10723.0,5.22460894661042e-29
LAM1163,State_15_without_LAM1163,State_20,protease_ECM_niche,73,702,0.9327459633350372,0.6156992612358851,0.9197013974189758,0.655115932226181,0.2645854651927948,40862.0,5.709556022243282e-17
LAM1163,State_15_without_LAM1163,State_12,protease_ECM_niche,73,577,0.9327459633350372,0.30232763524446477,0.9197013974189758,0.2561335563659668,0.663567841053009,40622.0,2.6392263122216534e-38
LAM1163,State_15_without_LAM1163,State_7,protease_ECM_niche,73,521,0.9327459633350372,0.20140517557365195,0.9197013974189758,0.1613994836807251,0.7583019137382507,37480.0,3.2129123030369635e-41
LAM1163,State_15_without_LAM1163,State_5,protease_ECM_niche,73,853,0.9327459633350372,0.8983463301189061,0.9197013974189758,0.9068263173103333,0.012875080108642578,34393.0,0.13741754936438527
LAM1163,State_15_without_LAM1163,State_18,ciliated,73,153,0.02196567786270625,0.04946165377261982,0.0,0.029373737052083015,-0.029373737052083015,4158.0,0.0008290744259297597
LAM1163,State_15_without_LAM1163,State_20,ciliated,73,702,0.02196567786270625,0.032035089594091785,0.0,0.0,0.0,26067.0,0.7673844286556746
LAM1163,State_15_without_LAM1163,State_12,ciliated,73,577,0.02196567786270625,0.07963978446393792,0.0,0.05766505002975464,-0.05766505002975464,10458.0,1.2983392884764482e-12
LAM1163,State_15_without_LAM1163,State_7,ciliated,73,521,0.02196567786270625,0.08576724900651345,0.0,0.07339227199554443,-0.07339227199554443,8478.5,8.801639730839724e-15
LAM1163,State_15_without_LAM1163,State_5,ciliated,73,853,0.02196567786270625,0.006713708033970834,0.0,0.0,0.0,38380.5,1.920034873483613e-06
LAM1163,State_15_without_LAM1163,State_18,AT2,73,153,0.9079213107693686,0.24704047199947382,0.9417827129364014,0.11182435601949692,0.8299583569169044,8975.5,3.641569221608417e-14
LAM1163,State_15_without_LAM1163,State_20,AT2,73,702,0.9079213107693686,0.3387087864159179,0.9417827129364014,0.12577666342258453,0.8160060495138168,39691.0,4.629176320339591e-16
LAM1163,State_15_without_LAM1163,State_12,AT2,73,577,0.9079213107693686,1.2910541141570337,0.9417827129364014,1.2067521810531616,-0.26496946811676025,15091.5,7.858058169640774e-05
LAM1163,State_15_without_LAM1163,State_7,AT2,73,521,0.9079213107693686,2.019366059101932,0.9417827129364014,1.9564664363861084,-1.014683723449707,7945.5,7.527862605204564e-16
LAM1163,State_15_without_LAM1163,State_5,AT2,73,853,0.9079213107693686,0.35398829211715654,0.9417827129364014,0.15792755782604218,0.7838551551103592,46861.5,2.861053236428557e-13
LAM1163,State_15_without_LAM1163,State_18,macrophage,73,153,0.7163875998597439,0.18215747933615656,0.6052046418190002,0.1151781976222992,0.49002644419670105,10030.0,3.1576942210340033e-22
LAM1163,State_15_without_LAM1163,State_20,macrophage,73,702,0.7163875998597439,0.16730370943002043,0.6052046418190002,0.07552151754498482,0.5296831242740154,46658.0,5.524125776358372e-33
LAM1163,State_15_without_LAM1163,State_12,macrophage,73,577,0.7163875998597439,0.36497731101691105,0.6052046418190002,0.15032857656478882,0.4548760652542114,32588.0,2.025787357690418e-14
LAM1163,State_15_without_LAM1163,State_7,macrophage,73,521,0.7163875998597439,0.1585575217942416,0.6052046418190002,0.053008783608675,0.5521958582103252,34949.5,3.481950170176034e-32
LAM1163,State_15_without_LAM1163,State_5,macrophage,73,853,0.7163875998597439,2.6983835320015723,0.6052046418190002,2.7905733585357666,-2.1853687167167664,800.0,1.6636895688193065e-43
LAM1163,State_15_without_LAM1163,State_18,endothelial,73,153,0.049658149455304015,0.058508702547721614,0.0190748181194067,0.0,0.0190748181194067,5626.0,0.9227689097781349
LAM1163,State_15_without_LAM1163,State_20,endothelial,73,702,0.049658149455304015,0.09848199876826629,0.0190748181194067,0.07954055443406105,-0.06046573631465435,20239.0,0.0020474168343234075
LAM1163,State_15_without_LAM1163,State_12,endothelial,73,577,0.049658149455304015,0.32049436144453297,0.0190748181194067,0.16122877597808838,-0.14215395785868168,10892.5,1.0376021419801681e-11
LAM1163,State_15_without_LAM1163,State_7,endothelial,73,521,0.049658149455304015,0.0472597651390963,0.0190748181194067,0.0,0.0190748181194067,21062.0,0.09816584248065409
LAM1163,State_15_without_LAM1163,State_5,endothelial,73,853,0.049658149455304015,0.1381833407599894,0.0190748181194067,0.13659106194972992,-0.11751624383032322,12897.0,8.475335866718173e-17
LAM1163,State_15_without_LAM1163,State_18,fibroblast,73,153,1.0521211681300646,0.6035592585704685,1.0833992958068848,0.5004589557647705,0.5829403400421143,8468.0,3.561224754585625e-10
LAM1163,State_15_without_LAM1163,State_20,fibroblast,73,702,1.0521211681300646,1.8869950358471979,1.0833992958068848,1.951782763004303,-0.8683834671974182,7923.0,2.410904742969881e-22
LAM1163,State_15_without_LAM1163,State_12,fibroblast,73,577,1.0521211681300646,0.20316630641589234,1.0833992958068848,0.08080168813467026,1.0025976076722145,39474.0,9.369924097431869e-35
LAM1163,State_15_without_LAM1163,State_7,fibroblast,73,521,1.0521211681300646,0.03930829213699773,1.0833992958068848,0.0,1.0833992958068848,37881.0,3.433161919218637e-53
LAM1163,State_15_without_LAM1163,State_5,fibroblast,73,853,1.0521211681300646,0.1880625629118466,1.0833992958068848,0.18895207345485687,0.8944472223520279,61958.0,7.214036364136899e-45
LAM1163,State_15_without_LAM1163,State_18,mesothelial,73,153,0.06558709469151823,0.0053359065083117265,0.0,0.0,0.0,7901.0,1.9688264784126493e-14
LAM1163,State_15_without_LAM1163,State_20,mesothelial,73,702,0.06558709469151823,0.039227057126300285,0.0,0.0,0.0,30915.0,0.00010412725151710903
LAM1163,State_15_without_LAM1163,State_12,mesothelial,73,577,0.06558709469151823,0.04013394774381633,0.0,0.0,0.0,24738.0,0.0034529115248431047
LAM1163,State_15_without_LAM1163,State_7,mesothelial,73,521,0.06558709469151823,0.034554787244712094,0.0,0.0,0.0,23176.5,0.00010152131115973798
LAM1163,State_15_without_LAM1163,State_5,mesothelial,73,853,0.06558709469151823,0.003825470538764039,0.0,0.0,0.0,44162.0,9.780271933400161e-36
LAM1163,State_15_without_LAM1163,State_18,pericyte_VSMC,73,153,1.3819872679775709,2.1818091394075383,1.2884299755096436,2.2787251472473145,-0.9902951717376709,1805.0,2.0108840503729426e-16
LAM1163,State_15_without_LAM1163,State_20,pericyte_VSMC,73,702,1.3819872679775709,0.5594233476113729,1.2884299755096436,0.5151468515396118,0.7732831239700317,45033.0,1.5303176363470886e-26
LAM1163,State_15_without_LAM1163,State_12,pericyte_VSMC,73,577,1.3819872679775709,0.17461476772474818,1.2884299755096436,0.1269633024930954,1.1614666730165482,41555.0,5.2614413177969934e-42
LAM1163,State_15_without_LAM1163,State_7,pericyte_VSMC,73,521,1.3819872679775709,0.057026165389168056,1.2884299755096436,0.02677140012383461,1.261658575385809,37938.0,2.8272523341026658e-46
LAM1163,State_15_without_LAM1163,State_5,pericyte_VSMC,73,853,1.3819872679775709,0.07047654641191677,1.2884299755096436,0.05494947358965874,1.2334805019199848,62027.0,3.0106547310207715e-45
