patient_id,feature,state15_cells,rest_of_candidate_cells,state15_mean,rest_mean,delta_mean,state15_median,rest_median,delta_median,mannwhitney_u,mannwhitney_pvalue,delta_mean_direction
LAM1158,protease_ECM_niche,10,172,0.9560891270637513,0.7526350295560997,0.20345409750765153,0.972305566072464,0.8395906686782837,0.1327148973941803,1266.0,0.012288332659238049,positive
LAM1158,ciliated,10,172,0.024246378056704997,0.07115948007463715,-0.046913102017932154,0.03175503574311733,0.0,0.03175503574311733,1156.5,0.027086508835909802,negative_or_equal
LAM1158,AT2,10,172,0.1250636726617813,0.24272513030053572,-0.11766145763875441,0.11908138543367386,0.11110490933060646,0.007976476103067398,853.0,0.967560067355951,negative_or_equal
LAM1158,macrophage,10,172,0.32510942667722703,1.5581808431767101,-1.2330714164994832,0.2988094538450241,2.23228657245636,-1.9334771186113358,688.0,0.2894709245701711,negative_or_equal
LAM1158,endothelial,10,172,0.02811383083462715,0.12587293903993138,-0.09775910820530423,0.020274922251701355,0.12801308929920197,-0.10773816704750061,345.0,0.0013842257782975531,negative_or_equal
LAM1158,fibroblast,10,172,0.9922564715147019,0.5541404141438042,0.43811605737089765,0.8294394910335541,0.1439952328801155,0.6854442581534386,1349.0,0.00254707416724812,positive
LAM1158,mesothelial,10,172,0.11218561306595802,0.0519314156845212,0.06025419738143682,0.11408652737736702,0.0,0.11408652737736702,1193.5,0.014917911103055697,positive
LAM1158,pericyte_VSMC,10,172,1.5769710779190063,0.37413549617604286,1.2028355817429635,1.7168784141540527,0.07521673291921616,1.6416616812348366,1555.0,1.7873478175043713e-05,positive
LAM1163,LAMCORE_777,127,373,0.5271588474746765,0.2116805670568195,0.31547828041785697,0.5393519401550293,0.20613937079906464,0.33321256935596466,46753.0,1.839212850697845e-60,positive
LAM1163,CORE1,127,373,2.0648180952691657,0.9375583250774695,1.1272597701916962,2.164323568344116,0.6369475722312927,1.5273759961128235,40332.0,2.429766824944732e-32,positive
LAM1163,CORE2,127,373,1.1502329166245273,0.35484381428552697,0.7953891023390003,1.1525075435638428,0.24728339910507202,0.9052241444587708,45345.0,1.6070115656532917e-53,positive
LAM1163,CORE3_identity,127,373,1.6025434155163802,0.5993284020602863,1.003215013456094,1.6263644695281982,0.4399249255657196,1.1864395439624786,44334.0,8.372734987648392e-49,positive
LAM1163,gene_PMEL,127,373,2.561991008717244,0.4949339019788814,2.0670571067383627,2.6920738220214844,0.0,2.6920738220214844,42975.5,1.6290874445497637e-52,positive
LAM1163,gene_MLANA,127,373,0.03967851916636069,0.002301343923919003,0.03737717524244169,0.0,0.0,0.0,24681.5,0.0011259221811430703,positive
LAM1163,gene_MITF,127,373,0.7859999847224378,0.437267651906282,0.34873233281615584,0.8366230726242065,0.0,0.8366230726242065,32798.5,1.0701332560055861e-11,positive
LAM1163,gene_ACTA2,127,373,3.517711956200637,1.791392661491284,1.726319294709353,3.7296664714813232,1.0337517261505127,2.6959147453308105,36064.0,1.0624421531383683e-18,positive
LAM1163,gene_ACTG2,127,373,0.3887025530882708,0.24781962030694568,0.1408829327813251,0.0,0.0,0.0,26510.0,0.0011500455994635174,positive
LAM1163,gene_MYH11,127,373,2.366694965700465,0.5126995969633634,1.8539953687371014,2.496321678161621,0.0,2.496321678161621,41728.0,1.301444584738574e-46,positive
LAM1163,gene_VEGFD,127,373,0.17252351648694886,0.08926210326739355,0.08326141321955531,0.0,0.0,0.0,27644.0,1.3833029068659203e-07,positive
LAM1163,gene_CTSK,127,373,3.6818880068035575,1.3044553158590046,2.377432690944553,3.7916207313537598,0.8709899187088013,2.9206308126449585,43148.0,5.417233743576722e-44,positive
LAM1163,gene_ESR1,127,373,0.45801090713091724,0.07568583907135051,0.38232506805956673,0.39342209696769714,0.0,0.39342209696769714,34759.5,3.115414611418525e-28,positive
LAM1163,HOX_PBX_markers,127,373,0.3797904389111076,0.02504933529580886,0.3547411036152987,0.337502121925354,0.0,0.337502121925354,39499.5,1.373197081827955e-56,positive
LAM1163,HOX_PBX,127,373,0.302319002345087,0.06324457744231332,0.2390744249027737,0.303828626871109,0.0,0.303828626871109,43540.0,3.975959341351991e-49,positive
LAM1163,LAM_myogenic_contractile,127,373,2.7989514127491026,1.3103196213006894,1.4886317914484133,2.9484472274780273,0.9592738151550293,1.989173412322998,40477.0,7.31319882113401e-33,positive
LAM1163,ECM_remodeling,127,373,1.6410989500875548,0.765109274301668,0.8759896757858868,1.6570603847503662,0.5159531831741333,1.141107201576233,40078.0,2.114439001170119e-31,positive
LAM1163,mTOR_translation,127,373,1.9227088258022398,1.9336617147954476,-0.010952888993207788,1.946955919265747,1.9394229650497437,0.007532954216003418,22895.0,0.5742868088214348,negative_or_equal
LAM1163,hormone_related,127,373,0.20950673670163306,0.07953056873848546,0.1299761679631476,0.20078089833259583,0.0,0.20078089833259583,37287.0,1.2770881194925594e-23,positive
LAM1163,protease_ECM_niche,127,373,1.0431926147205624,0.5434706933177189,0.49972192140284344,1.056383490562439,0.5480780005455017,0.5083054900169373,44284.0,1.4103430237806994e-48,positive
LAM1163,ciliated,127,373,0.022299319219694833,0.07108452270711316,-0.04878520348741833,0.0,0.0,0.0,27722.0,0.0005419295889753672,negative_or_equal
LAM1163,AT2,127,373,0.4863775792553669,1.0809798486550755,-0.5946022693997086,0.28059113025665283,0.43334856629371643,-0.1527574360370636,18393.5,0.0001610970865733649,negative_or_equal
LAM1163,macrophage,127,373,0.36693313295446983,0.32096551268314066,0.04596762027132917,0.35265693068504333,0.17410717904567719,0.17854975163936615,37116.0,9.166204397329286e-22,positive
LAM1163,endothelial,127,373,0.03851946257054806,0.09269141829285481,-0.05417195572230675,0.0,0.0,0.0,21932.0,0.16089474984340024,negative_or_equal
LAM1163,fibroblast,127,373,1.1952168260679001,0.6337155940375683,0.5615012320303319,1.1969941854476929,0.2570702135562897,0.9399239718914032,36541.0,4.077564921767527e-20,positive
LAM1163,mesothelial,127,373,0.10800169200057119,0.18223918817098433,-0.07423749617041314,0.09787725657224655,0.0,0.09787725657224655,26976.0,0.012534820254383504,negative_or_equal
LAM1163,pericyte_VSMC,127,373,1.9128721729507596,0.9106580443160943,1.0022141286346653,1.978320837020874,0.6788544654846191,1.2994663715362549,40493.0,6.386633671182291e-33,positive
LAM1164,LAMCORE_777,1,744,0.4264962673187256,0.16293795348735907,0.2635583138313665,0.4264962673187256,0.0709066316485405,0.3555896356701851,740.0,0.013422818791946308,positive
LAM1164,CORE1,1,744,1.4209171533584595,0.3292296244262127,1.0916875289322467,1.4209171533584595,0.14915671944618225,1.2717604339122772,723.0,0.10177372277847829,positive
LAM1164,CORE2,1,744,0.4660213589668274,0.3449500485834095,0.1210713103834179,0.4660213589668274,0.330863356590271,0.1351580023765564,593.0,0.30523007011312075,positive
LAM1164,CORE3_identity,1,744,0.779664933681488,0.37165738082921473,0.4080075528522733,0.779664933681488,0.30444008111953735,0.4752248525619507,703.0,0.12435193369351445,positive
LAM1164,gene_PMEL,1,744,0.0,0.019298843638871306,-0.019298843638871306,0.0,0.0,0.0,363.0,0.881873730261267,negative_or_equal
LAM1164,gene_MLANA,1,744,0.0,0.008174472798903784,-0.008174472798903784,0.0,0.0,0.0,368.0,0.9273643436409666,negative_or_equal
LAM1164,gene_MITF,1,744,0.7242345213890076,0.6039980598074454,0.1202364615815622,0.7242345213890076,0.6372252702713013,0.0870092511177063,419.0,0.824756622553767,positive
LAM1164,gene_ACTA2,1,744,2.4537179470062256,0.7461588269159678,1.7075591200902578,2.4537179470062256,0.5610693693161011,1.8926485776901245,696.0,0.11812404033979351,positive
LAM1164,gene_ACTG2,1,744,0.7242345213890076,0.030076067774526535,0.694158453614481,0.7242345213890076,0.0,0.7242345213890076,733.0,1.502751734136123e-14,positive
LAM1164,gene_MYH11,1,744,2.3578648567199707,0.05942302866167919,2.2984418280582917,2.3578648567199707,0.0,2.3578648567199707,732.0,5.532772760857304e-09,positive
LAM1164,gene_VEGFD,1,744,1.1398509740829468,0.10882777352166433,1.0310232005612825,1.1398509740829468,0.0,1.1398509740829468,707.0,0.00038083603002428884,positive
LAM1164,gene_CTSK,1,744,1.1398509740829468,0.8652791948888892,0.2745717791940576,1.1398509740829468,0.655504435300827,0.48434653878211975,475.0,0.6230908498058424,positive
