contrast,gene,direction,signed_score,moderated_q,default_cmap_query
escape_plastic,FTH1,down,-1.3144060393962542,0.0153644582879662,True
escape_plastic,VAT1,down,-1.012905552090511,0.0153644582879662,True
escape_plastic,UCHL1,down,-0.875676126173988,0.0154261005636452,True
escape_plastic,ATP6V1C1,down,-0.6462816706183312,0.0154261005636452,True
escape_plastic,C4orf3,down,-0.5789516146956393,0.0154261005636452,True
escape_plastic,L3MBTL2-AS1,down,-3.160030685033992,0.015562743201719,True
escape_plastic,TMC6,down,-1.206367160688922,0.015562743201719,True
escape_plastic,FUT11,down,-0.843081028546051,0.0156406609173376,True
escape_plastic,MTCH2,down,-0.6522068488538744,0.0156406609173376,True
escape_plastic,TPI1,down,-0.8774501424344647,0.0156892470508287,True
escape_plastic,ISCA1,down,-0.6740918106428633,0.0160907461180052,True
escape_plastic,HMOX1,down,-2.7250989502848872,0.0163357981762292,True
escape_plastic,TKT,down,-0.6823384548598752,0.0163357981762292,True
escape_plastic,MGST3,down,-0.5207423521864447,0.0163357981762292,True
escape_plastic,LRRC15,down,-1.062217316837896,0.0166104798701723,True
escape_plastic,PIK3R3,down,-1.186315056232231,0.0169227219330577,True
escape_plastic,ZNF468,down,-0.946307745018085,0.0175310086787756,True
escape_plastic,TEX29,down,-1.777864073097846,0.0175546202997007,True
escape_plastic,G0S2,down,-1.3995674853721336,0.0175832136580852,True
escape_plastic,POPDC3,down,-1.3030584059888648,0.0175851730641593,True
escape_plastic,KCNS1,down,-1.3153389944914242,0.0176755723901967,True
escape_plastic,HTR2B,down,-1.5766413921160989,0.0179056352959965,True
escape_plastic,DDIT4,down,-2.0093509646406686,0.0185494734488929,True
escape_plastic,MGST1,down,-0.5795497188474155,0.0187406891124275,True
escape_plastic,PELI3,down,-1.1057927757081651,0.0187996119766849,True
