gene,environment,n_replicates,replicate_pre_effects,replicate_post_effects,mean_pre_effect,mean_post_effect,suppression_fraction,category,baseline_effect_size_pass,baseline_direction_concordant,post_direction_concordant,replicate_retention_eligible,modules
PDCD1LG2,hydrogel,2,0.386762;0.47311,0.43869;0.211987,0.4299362646037448,0.3253382828587057,,insufficient,False,False,True,False,immune_evasion
PDCD1LG2,plastic,2,0.0794395;0.383767,0.0974092;0.657408,0.2316032885702803,0.3774084886794746,,insufficient,False,False,True,False,immune_evasion
PMEL,hydrogel,2,2.12748;1.24431,0.0960567;0.318984,1.6858946572959548,0.2075206083507144,0.8769077252527976,suppressed,True,True,True,True,antigen_associated
PMEL,plastic,2,0.935681;0.887021,0.116747;-0.336323,0.91135101551912,-0.1097878138648349,1.1204670999376656,suppressed,True,True,False,True,antigen_associated
PRF1,hydrogel,2,0.000453693;0.000749868,0.00101737;0.00190648,0.0006017808945879,0.0014619228732309,,insufficient,False,False,True,False,cd8_cytotoxicity
PRF1,plastic,2,0.055211;-0.496652,0.0490103;0.00126896,-0.2207203098110047,0.02513962204462,,insufficient,False,False,True,False,cd8_cytotoxicity
PROM1,hydrogel,2,-0.517185;0.633757,0.567943;0.925766,0.0582861004286048,0.7468544953948997,,insufficient,False,False,True,False,stem_like
PROM1,plastic,2,-0.0139004;-0.266764,-0.48787;-0.219653,-0.1403321809569551,-0.3537614229461301,,insufficient,False,False,True,False,stem_like
PSMB8,hydrogel,2,0.247427;0.304646,0.340277;0.232273,0.2760361149147003,0.2862751701531509,,insufficient,False,False,True,False,presentation_machinery
PSMB8,plastic,2,0.186071;0.326503,0.39085;0.365327,0.2562870796934504,0.3780881799381905,,insufficient,False,False,True,False,presentation_machinery
PSMB9,hydrogel,2,0.122853;0.425756,0.274977;0.682628,0.2743044368781904,0.47880257043811,,insufficient,False,False,True,False,presentation_machinery
PSMB9,plastic,2,0.415029;0.054384,1.06605;0.435042,0.2347064821301501,0.7505455816622253,,insufficient,False,False,True,False,presentation_machinery
PVR,hydrogel,2,0.966041;0.89584,0.336049;0.231868,0.9309404090133002,0.2839586521165493,0.6949765534213774,partially_retained,True,True,True,True,immune_evasion
PVR,plastic,2,0.706853;0.859019,0.10845;0.396973,0.7829358720028496,0.2527116801261,0.677225569599166,partially_retained,True,True,True,True,immune_evasion
SOX2,hydrogel,2,1.44379;1.30364,1.32084;1.61626,1.3737166399408751,1.4685538428212848,-0.0690369470114968,enhanced_or_reprogrammed,True,True,True,True,stem_like
SOX2,plastic,2,0.791803;0.26561,0.930134;0.224092,0.5287064856936101,0.5771126585919548,-0.0915558522699804,enhanced_or_reprogrammed,True,False,True,False,stem_like
STAT1,hydrogel,2,-0.0740866;0.141518,0.0718717;0.268942,0.0337154909227503,0.1704070226814495,,insufficient,False,False,True,False,ifn_response;inflammatory
STAT1,plastic,2,-0.0446716;-0.057673,-0.121576;0.214584,-0.0511723028754991,0.0465038756111502,,insufficient,False,False,False,False,ifn_response;inflammatory
TAP1,hydrogel,2,0.506324;0.50093,0.196154;0.334214,0.5036268486047994,0.2651841874551994,0.4734510517264104,partially_retained,True,True,True,True,presentation_machinery
TAP1,plastic,2,0.317012;0.446634,0.0959456;0.19977,0.3818225964449997,0.1478579990521495,,insufficient,False,False,True,False,presentation_machinery
TAP2,hydrogel,2,0.455888;-0.233155,0.281115;0.689641,0.1113662083945197,0.4853776578435598,,insufficient,False,False,True,False,presentation_machinery
TAP2,plastic,2,0.4319;-0.0800223,0.321602;0.190764,0.1759387035013651,0.256183254101145,,insufficient,False,False,True,False,presentation_machinery
TAPBP,hydrogel,2,0.280332;0.11927,0.118963;0.337575,0.1998012241019502,0.2282694006378003,,insufficient,False,False,True,False,presentation_machinery
TAPBP,plastic,2,0.0643374;-0.036837,0.0107826;0.219658,0.0137501913663493,0.1152200771905498,,insufficient,False,False,True,False,presentation_machinery
TIGIT,hydrogel,2,0.000581573;0.0555543,0.051532;-0.0430653,0.0280679565395552,0.0042333542536353,,insufficient,False,False,False,False,t_cell_exhaustion
TIGIT,plastic,2,0.00154418;-0.557495,0.000183822;0.0618937,-0.2779753984202024,0.0310387402390621,,insufficient,False,False,True,False,t_cell_exhaustion
TNFAIP3,hydrogel,2,-0.5136;-0.636019,-0.331373;0.444074,-0.5748099355526604,0.0563505762476506,1.098033406805106,suppressed,True,True,False,True,inflammatory
TNFAIP3,plastic,2,0.0195373;-0.168982,0.176328;0.330461,-0.0747221330119796,0.2533944073386047,,insufficient,False,False,True,False,inflammatory
TOX,hydrogel,2,-1.09751;-1.16179,-0.527208;-0.72072,-1.1296502750644004,-0.6239639681117497,0.4476485493918213,partially_retained,True,True,True,True,t_cell_exhaustion
TOX,plastic,2,-1.22191;-1.27488,-0.942159;-1.02493,-1.2483973384127998,-0.983543071596551,0.212155424132017,fully_retained,True,True,True,True,t_cell_exhaustion
TRBC1,hydrogel,2,-0.326647;-0.726364,0.146904;-0.0334203,-0.5265055946139201,0.05674202391194,1.1077709800093354,suppressed,True,False,False,False,t_cell_markers
TRBC1,plastic,2,-0.310211;0.326606,-0.347191;0.0757963,0.0081976016096099,-0.1356971126376549,,insufficient,False,False,False,False,t_cell_markers
TRBC2,hydrogel,2,0.181784;-0.268108,-0.00257622;-0.147454,-0.043162113922575,-0.0750149330385547,,insufficient,False,False,True,False,t_cell_markers
TRBC2,plastic,2,-0.33304;0.0577339,-0.27779;0.0788835,-0.1376529176899952,-0.0994531143856201,,insufficient,False,False,False,False,t_cell_markers
TREM2,hydrogel,2,0.126132;0.0928268,-0.184446;-0.147308,0.109479446601025,-0.165876826875255,,insufficient,False,False,True,False,macrophage_suppressive
TREM2,plastic,2,-0.13282;-0.0869243,0.101291;0.302865,-0.109872134009515,0.2020783860692099,,insufficient,False,False,True,False,macrophage_suppressive
TYROBP,hydrogel,2,0.000987847;0.00162228,0.00243282;0.00401415,0.0013050654068349,0.00322348638706,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
TYROBP,plastic,2,-0.0194983;-0.067688,0.000327523;0.00259779,-0.04359315140574,0.0014626561168099,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
TYRP1,hydrogel,2,1.71599;1.81409,0.485151;1.30578,1.7650381411319946,0.8954678747183604,0.4926637255872225,partially_retained,True,True,True,True,antigen_associated
