dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE302356,scRNA,C1QA,True,1969,1.107490474506345,3.352924325148821,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,C1QB,True,1730,1.149669265773832,3.2085920271051203,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,C1QC,True,1157,1.3486582446536075,3.061258094506985,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CCL2,True,399,0.969364982879499,2.688589534291826,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CCL5,True,2440,1.5562731105125454,3.315194415657012,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CCL7,True,10,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CD274,True,804,0.8678916173607938,1.6445840161814194,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CD276,True,324,0.43968440798462277,0.9311400930850496,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CD3D,True,1746,1.5105814222056675,2.3655405666481912,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CD3E,True,1797,1.3190123540365686,2.1209972119483353,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CD8A,True,716,1.2693924914273529,2.2118972346973167,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CD8B,True,441,1.2101682620477228,1.961114431695207,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CTSK,True,597,0.7455807196147457,1.7543305222223464,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,CXCL8,True,620,0.9924799791114165,2.6909556944307305,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,DCT,True,6,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,DPPA4,True,23,0.7325672098977587,1.110355802510846,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,EPCAM,True,189,1.0597761894539062,1.5985829028905612,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ERAP1,True,1653,0.6574612207956003,1.2484937148214952,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ERAP2,True,2314,0.8297859055585597,1.3949438158942327,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,ESR1,True,124,0.4563982781777819,1.2351331072393177,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,FCER1G,True,3979,1.6380265645454606,2.5791431728860004,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,FCGR3A,True,2398,1.4524545335508223,2.628429892592478,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,GNLY,True,2184,1.5716550881729152,4.509489851752269,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,GPNMB,True,1114,0.9457014226744345,2.161205590297842,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,GZMB,True,1809,1.8744511850731684,3.6308637947596787,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HAVCR2,True,1787,0.791469736228799,1.4488912881354195,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HLA-A,True,10946,2.4484868026519853,3.4554486297770417,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HLA-B,True,11359,2.8213533659108423,3.7988016061308425,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HLA-C,True,11185,2.704510704113377,3.714665376926722,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HLA-E,True,11002,2.2368415908462604,3.3791404975181014,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HMGA2,True,13,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HOXA11,True,6,,,False,nonzero normalized expression within dataset x assay
GSE302356,scRNA,HOXD11,True,6,,,False,nonzero normalized expression within dataset x assay
