filter_row_id,dataset,canonical_query_hash,query_id,contrast,perturbation_key,perturbation_class,pert_iname,median_reversal_WTCS,median_reversal_NCS,max_reversal_NCS,fraction_reversed,n_signatures,n_cells,n_query_sizes,query_size_stable,exploratory,applicable_target_sizes,pert_type,q25_reversal_NCS,q75_reversal_NCS,best_context,cross_phase_status,measured_in_other_dataset,tier,tier1_eligible,row_direction_class,unique_drug_id
125,GSE92742,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::buparlisib,compound,buparlisib,0.26481032,0.9471520256907296,1.505089322719688,0.6666666666666666,48,6,1,True,False,100,trt_cp,0.0,1.0904685839329489,MDAMB231|500 nM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::buparlisib
117,GSE92742,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::gabapentin,compound,gabapentin,0.265826,0.9468986485525464,1.1531271787472035,0.75,4,2,1,True,False,100,trt_cp,0.4021684109333762,1.043447373419874,MCF7|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gabapentin
84,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::ql-xii-47,compound,QL-XII-47,0.25344482,0.9411235769074427,1.4948991488147916,0.6153846153846154,65,19,1,True,False,150,trt_cp,-0.0,1.0989389359361896,SKBR3|1 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlxii47
61,GSE92742,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::niacin,compound,niacin,0.27910507,0.939169329953221,1.3644911982474048,0.6,25,11,1,True,False,100,trt_cp,-0.0,1.1546719386152522,HT29|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::niacin
194,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::novobiocin,compound,novobiocin,0.24431677,0.9360674104789491,1.2747522863810248,0.6904761904761905,42,7,1,True,False,150,trt_cp,0.0,1.0478334444687614,A375|3.33 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::novobiocin
1,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::erythromycin-ethylsuccinate,compound,erythromycin-ethylsuccinate,0.2489061,0.9338481490100532,1.3459510500585627,0.6521739130434783,23,13,1,True,False,150,trt_cp,0.0,1.1362576765314674,VCAP|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::erythromycinethylsuccinate
228,GSE70138,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::gsk-1059615,compound,GSK-1059615,0.26701164,0.9332686038804364,1.8724877572921457,0.6116504854368932,721,28,1,True,False,100,trt_cp,-0.0,1.183012601994432,ASC.C|0.37 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk1059615
156,GSE70138,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::pi-103,compound,PI-103,0.26980644,0.9331295523237054,1.6392099712442256,0.6444444444444445,180,17,1,True,False,100,trt_cp,0.0,1.130406604304206,HA1E|0.04 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::pi103
249,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::gsk-2126458,compound,GSK-2126458,0.25088352,0.9324613094975572,1.6609223756848912,0.6304347826086957,138,15,1,True,False,150,trt_cp,0.0,1.1153009925093578,HA1E|0.04 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk2126458
258,GSE70138,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::ly-294002,compound,LY-294002,0.24164046,0.931113255965952,1.2965449922491552,0.6428571428571429,14,5,1,True,False,150,trt_cp,0.0,1.0428088682299714,A375|10.0 um|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::ly294002
