row_type,branch_id,source_state,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75,distance_metric,score_name,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,LAMCORE_no_gate,10.0,-0.05700958753026658,-0.08093240602239948,-0.03308676903813368,3.88351297949183e-06,-0.31205607172668576,2.2771813595076528e-10
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,LAMCORE_outside_scVI,10.0,-0.04728814338120259,-0.07111521543134908,-0.023461071331056106,0.00011258205730377989,-0.2428729740105906,1.0340692809987498e-06
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,LAMCORE_independent,10.0,-0.04666237736054084,-0.07017728464715835,-0.023147470073923326,0.00011281539278461825,-0.2451148722543855,8.157802603334103e-07
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,CORE1,10.0,-0.09619320397369557,-0.19860600182920746,0.006219593881816296,0.06555190829964513,-0.14025127852432964,0.005231544772123814
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,CORE2,10.0,-0.13200501406380846,-0.18306336323289857,-0.08094666489471836,5.807945324353533e-07,-0.2624537649178196,1.205242350213065e-07
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,CORE3,10.0,-0.1788226014881198,-0.24472020058127109,-0.1129250023949685,1.6323484500741422e-07,-0.29824166081495834,1.477437423493495e-09
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,melanocytic,10.0,-0.13732385000673095,-0.21831132490343497,-0.05633637511002694,0.000939794376149424,-0.20659759496362973,3.507162857946844e-05
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,myogenic,10.0,-0.1839538022364463,-0.31150853551271307,-0.056399068960179544,0.004817330286849262,-0.15616995396315708,0.001851319074271879
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,VEGFD,10.0,-0.008109379779481063,-0.11605533476334612,0.09983657520438399,0.8826517309956762,-0.035788230629167195,0.47816929541053393
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,CTSK,10.0,-0.31623852456164253,-0.5445423976679504,-0.08793465145533466,0.006755135157735757,-0.14353782698331075,0.0042560446848677064
