row_type,branch_id,source_state,distance_metric,score_name,n_cells,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,branch_03,State_20,latent_distance,CTSK,756,10,-0.18016285512454877,-0.2551740892431213,-0.10515162100597626,2.883644895005115e-06,-0.3363052097127864,1.9076883977421128e-21
model,branch_03,State_20,latent_distance,lam_support,756,10,0.03298556957201568,-0.0038925484025427934,0.06986368754657415,0.07950969392818885,0.017276326535068803,0.6353075065961765
model,branch_03,State_20,latent_distance,HOX_PBX,756,10,0.0309169462733941,0.01348524005316553,0.04834865249362267,0.0005269808443495388,0.305281277627316,9.024699159524115e-18
model,branch_03,State_20,latent_distance,hormone,756,10,0.05281350109330164,0.030765457990091685,0.0748615441965116,3.0623123400840076e-06,0.33088684855450357,8.982997838555617e-21
model,branch_03,State_20,latent_distance,ECM,756,10,0.024432208753210793,-0.022677077064001735,0.07154149457042332,0.30893868250902473,-0.14582506230436804,5.71151392587315e-05
model,branch_03,State_20,latent_distance,protease,756,10,-0.03759704789926994,-0.06225499578900942,-0.012939100009530455,0.0028509923721385753,-0.28926873442340095,4.877026337432976e-16
model,branch_03,State_20,latent_distance,mTOR_translation,756,10,-0.16975734335863352,-0.20959449001546243,-0.1299201967018046,2.93967058600343e-16,-0.4414406306557746,2.1252796007489294e-37
model,branch_03,State_20,latent_distance,T_NK,756,10,-0.00991362271279112,-0.022250113293265678,0.0024228678676834394,0.11508362988799513,0.07314258637324252,0.044383129144393074
model,branch_03,State_20,latent_distance,macrophage,756,10,-0.085050602691327,-0.11767191033065146,-0.05242929505200254,3.9262960162797395e-07,-0.15787829512857743,1.293914679710898e-05
model,branch_03,State_20,latent_distance,AT2,756,10,0.01474034995203008,-0.033551582638906716,0.06303228254296687,0.5492073202379737,0.3080327614207401,4.43263961514356e-18
model,branch_03,State_20,latent_distance,endothelial,756,10,0.014907294487562653,0.0007687797078731323,0.029045809267252174,0.03880586103879063,0.038839528751056666,0.28617696025956696
model,branch_03,State_20,latent_distance,lymphatic_endothelial,756,10,-0.001706546778419733,-0.014761157746583238,0.011348064189743772,0.7975347821938162,-0.021701152427157852,0.5513316461456144
model,branch_03,State_20,latent_distance,fibroblast,756,10,0.04260129615322018,-0.01183760314736669,0.09704019545380706,0.1248966137395828,-0.1542586859864017,2.0450253113662082e-05
model,branch_03,State_20,latent_distance,pericyte_VSMC,756,10,-0.03447201782541351,-0.06539491963850437,-0.0035491160123226513,0.028945155115490163,-0.24828146447854746,4.390111350046113e-12
model,branch_03,State_20,latent_distance,mesothelial,756,10,-0.0024255824441967774,-0.010938818871443646,0.006087653983050091,0.5760980810898402,-0.0691484638318162,0.05738097310988972
model,branch_03,State_20,latent_distance,ciliated,756,10,0.0030831237986001917,-0.00435021799246052,0.010516465589660903,0.4157583730564204,0.2121820732591824,3.824729761403565e-09
model,branch_03,State_20,graph_hop,LAMCORE_full,756,10,0.002259747445999105,-0.002599111148881824,0.007118606040880034,0.36152785744153265,0.08824110890198145,0.015226339731628019
model,branch_03,State_20,graph_hop,LAMCORE_no_gate,756,10,0.0021584657874338248,-0.0027462369481680996,0.007063168523035749,0.3878955083135749,0.08641371335725632,0.017477786166237852
model,branch_03,State_20,graph_hop,LAMCORE_outside_scVI,756,10,0.0006328513889907669,-0.003033751240926489,0.004299454018908023,0.7348272492890962,0.15831108551757797,1.2241623177095705e-05
