dataset,cohort,score,n_cells,n_nonnull,mean,median,q05,q25,q75,q95,LAM_core_fraction,LAM_boundary_fraction,non_LAM_like_fraction
GSE122960,normal_reference,identity_anchor_score,32977,32977,0.43340926607928676,0.0,0.0,0.0,0.3425725996494293,2.4379897594451903,,,
GSE122960,normal_reference,support_score,32977,32977,0.20237329630980147,0.0,0.0,0.0,0.0,1.6531106710433785,,,
GSE122960,normal_reference,LAM_identity_score,32977,32977,-0.1513227092940514,-0.1784394234418869,-0.9155508279800415,-0.39083153009414673,-0.013610584661364555,1.2926997661590562,,,
GSE122960,normal_reference,non_pericyte_competing_score,32977,32977,2.177371167935977,1.5144692659378052,0.1740077555179596,0.8506721258163452,2.2696378231048584,4.636669635772703,,,
GSE122960,normal_reference,pericyte_VSMC_conditional_penalty,32977,32977,0.26487359274951255,0.0,0.0,0.0,0.3311323163604395,1.18998346328735,,,
GSE122960,normal_reference,ciliated_score_z,32977,32977,0.9217448201346008,0.0,0.0,0.0,1.0,3.0182633876800535,,,
GSE122960,normal_reference,AT2_score_z,32977,32977,0.026268602415323136,0.0,-0.6279634833335876,-0.46174609661102295,0.538253903388977,0.6799996614456176,,,
GSE122960,normal_reference,macrophage_score_z,32977,32977,0.35300518514387647,0.0,-0.12101972848176956,-0.08054819703102112,0.9194518327713013,1.230456948280334,,,
GSE122960,normal_reference,endothelial_score_z,32977,32977,0.6348793889806328,0.0,0.0,0.0,1.0,2.366121387481685,,,
GSE122960,normal_reference,fibroblast_score_z,32977,32977,0.5732517513616326,0.0,0.0,0.0,1.0,2.2292718410491923,,,
GSE122960,normal_reference,mesothelial_score_z,32977,32977,0.44686779494211765,0.0,0.0,0.0,0.0,2.591872072219848,,,
GSE122960,normal_reference,pericyte_VSMC_score_z,32977,32977,0.6840249363056332,0.0,0.0,0.0,1.0,2.7609543323516825,,,
GSE135851,normal_reference,melanocytic_identity_score,7480,7480,0.04120465522821255,0.0,0.0,0.0,0.0,0.32358658164739595,,,
GSE135851,normal_reference,lamcore_identity_score,7480,7480,0.6417199578777822,0.44027334451675415,-0.21053904592990874,0.07660719193518162,0.8350542634725571,2.366016542911521,,,
GSE135851,normal_reference,identity_anchor_score,7480,7480,0.4799339336215688,0.22918759286403656,-0.10526952296495437,0.03831062186509371,0.48048466444015503,2.1758437037467955,,,
GSE135851,normal_reference,support_score,7480,7480,0.36399239676999534,0.0,0.0,0.0,0.0,2.415150964260099,,,
GSE135851,normal_reference,LAM_identity_score,7480,7480,-0.3950116246109317,-0.17281009256839752,-2.4176629304885866,-0.7086437046527863,0.08177280239760876,1.236920881271362,,,
GSE135851,normal_reference,non_pericyte_competing_score,7480,7480,3.604284215737032,1.4645093083381653,0.0,0.4325495958328247,4.664694547653198,13.052323436737058,,,
GSE135851,normal_reference,pericyte_VSMC_conditional_penalty,7480,7480,0.5311324057896125,0.1122780292987549,0.0,0.0,0.7450287037551286,2.324759112846932,,,
GSE135851,normal_reference,ciliated_score_z,7480,7480,0.5215116135417459,0.0,0.0,0.0,0.0,2.9655678033828687,,,
GSE135851,normal_reference,AT2_score_z,7480,7480,-0.3942992810338465,-0.4960963577032089,-0.8936454653739929,-0.8936454653739929,-0.26667671650648117,0.26197466403245806,,,
GSE135851,normal_reference,macrophage_score_z,7480,7480,-0.12299309008571957,-0.2220730558037758,-0.547636866569519,-0.41087713837623596,0.14782363921403885,0.4528236642479893,,,
GSE135851,normal_reference,endothelial_score_z,7480,7480,2.8861641478331332,1.0618905425071716,0.0,0.0,2.6031128764152527,12.762431144714354,,,
GSE135851,normal_reference,fibroblast_score_z,7480,7480,0.27887841084140047,-0.23221558332443237,-0.23221558332443237,-0.23221558332443237,0.48989178240299225,1.5232044696807834,,,
GSE135851,normal_reference,mesothelial_score_z,7480,7480,0.0968379894361139,0.0,0.0,0.0,0.0,0.0,,,
GSE135851,normal_reference,pericyte_VSMC_score_z,7480,7480,2.1069128827296475,0.5921822786331177,0.0,0.0,1.8155610859394073,7.385363745689381,,,
GSE122960,strong_competing_reference,melanocytic_identity_score,12341,12341,0.05022330951893767,0.0,0.0,0.0,0.0,0.3859339952468872,,,
GSE122960,strong_competing_reference,lamcore_identity_score,12341,12341,0.4761538361260705,0.0,0.0,0.0,0.6617631912231445,2.1324734687805176,,,
GSE122960,strong_competing_reference,identity_anchor_score,12341,12341,0.43691890928980315,0.0,0.0,0.0,0.3465776741504669,2.553438186645508,,,
GSE122960,strong_competing_reference,support_score,12341,12341,0.32228923743484605,0.0,0.0,0.0,0.0,2.7161037921905518,,,
GSE122960,strong_competing_reference,LAM_identity_score,12341,12341,-0.5141801841401764,-0.4599880278110504,-2.5124990940093994,-0.6385579705238342,-0.2360134869813919,1.24195396900177,,,
GSE122960,strong_competing_reference,non_pericyte_competing_score,12341,12341,4.029396566541752,2.524311065673828,0.8511396646499634,2.1650431156158447,3.2466697692871094,12.57361125946045,,,
GSE122960,strong_competing_reference,pericyte_VSMC_conditional_penalty,12341,12341,0.5102452573310933,0.0,0.0,0.0,0.7783474603864998,2.1875195503234863,,,
GSE122960,strong_competing_reference,ciliated_score_z,12341,12341,2.028337137846533,0.0,0.0,0.0,2.3365674018859863,5.09321928024292,,,
GSE122960,strong_competing_reference,AT2_score_z,12341,12341,0.014302707638549418,-0.13420197367668152,-0.6273435950279236,-0.4593011140823364,0.5367461442947388,0.6763311624526978,,,
GSE122960,strong_competing_reference,macrophage_score_z,12341,12341,0.32074529771190574,-0.01603727601468563,-0.12101972848176956,-0.08107511699199677,0.8892324566841125,1.263888955116272,,,
GSE122960,strong_competing_reference,endothelial_score_z,12341,12341,1.0634219450182587,0.0,0.0,0.0,1.4862703084945679,4.259111404418945,,,
GSE122960,strong_competing_reference,fibroblast_score_z,12341,12341,0.9028147771259044,0.0,0.0,0.0,1.491734504699707,2.766242742538452,,,
GSE122960,strong_competing_reference,mesothelial_score_z,12341,12341,0.8937971688316182,0.0,0.0,0.0,2.0738072395324707,3.34123158454895,,,
GSE122960,strong_competing_reference,pericyte_VSMC_score_z,12341,12341,1.3268081175142108,0.0,0.0,0.0,2.035611391067505,5.240960121154785,,,
GSE135851,strong_competing_reference,melanocytic_identity_score,13167,13167,0.03203723309818366,0.0,0.0,0.0,0.0,0.26178777813911425,,,
GSE135851,strong_competing_reference,lamcore_identity_score,13167,13167,0.6084941115342789,0.2875768542289734,-0.08496861830353737,0.05913917534053326,0.7503039538860321,2.592922425270075,,,
GSE135851,strong_competing_reference,identity_anchor_score,13167,13167,0.4279294244646635,0.14555446803569794,-0.042484309151768686,0.02956958767026663,0.4237547218799591,2.042074966430663,,,
GSE135851,strong_competing_reference,support_score,13167,13167,0.34596185774695243,0.0,0.0,0.0,0.0,2.50750904083251,,,
GSE135851,strong_competing_reference,LAM_identity_score,13167,13167,-1.4082848172175801,-0.8505668044090271,-3.85303690433502,-1.4769224524497986,-0.44662414491176605,0.9114459753036479,,,
GSE135851,strong_competing_reference,non_pericyte_competing_score,13167,13167,8.486021187970737,4.4477972984313965,1.2176337242126465,3.2978633642196655,8.083207607269287,19.6187879562377,,,
GSE135851,strong_competing_reference,pericyte_VSMC_conditional_penalty,13167,13167,0.5432869707674793,0.19958245248191694,0.0,0.0,0.7971513801262895,2.2200745532584505,,,
GSE135851,strong_competing_reference,ciliated_score_z,13167,13167,5.487791368428437,0.0,0.0,0.0,4.640886545181274,17.483224678039406,,,
GSE135851,strong_competing_reference,AT2_score_z,13167,13167,1.5145901684228185,0.5327041149139404,-0.8936454653739929,-0.2523883730173111,3.932731509208679,4.470970249176025,,,
GSE135851,strong_competing_reference,macrophage_score_z,13167,13167,-0.17334038769883178,-0.3267158269882202,-0.5181045174598694,-0.4170043170452118,-0.10075205937027931,0.721939086914062,,,
GSE135851,strong_competing_reference,endothelial_score_z,13167,13167,2.32351307328806,0.0,0.0,0.0,2.406170129776001,11.693606472015368,,,
GSE135851,strong_competing_reference,fibroblast_score_z,13167,13167,0.24418409899969956,-0.23221558332443237,-0.23221558332443237,-0.23221558332443237,0.36722999811172485,1.4751852512359604,,,
GSE135851,strong_competing_reference,mesothelial_score_z,13167,13167,0.47601137595512766,0.0,0.0,0.0,0.0,3.263523674011229,,,
GSE135851,strong_competing_reference,pericyte_VSMC_score_z,13167,13167,2.074359581877134,0.6642791032791138,0.0,0.0,2.1052721738815308,7.449920225143414,,,
GSE190260,strong_competing_reference,melanocytic_identity_score,19593,19593,0.07303353938980099,0.0,0.0,0.0,0.0,0.39841426014900194,,,
GSE190260,strong_competing_reference,lamcore_identity_score,19593,19593,1.5780666150734113,0.0,0.0,0.0,2.589606761932373,5.434916210174555,,,
GSE190260,strong_competing_reference,identity_anchor_score,19593,19593,1.0507973693592612,0.0,0.0,0.0,1.5529781579971313,3.884871959686277,,,
GSE190260,strong_competing_reference,support_score,19593,19593,0.4248846077725222,0.0,0.0,0.0,0.0,2.908136749267573,,,
GSE190260,strong_competing_reference,LAM_identity_score,19593,19593,-0.32018554991801823,-0.6496914625167847,-2.087586498260498,-1.149248719215393,0.3017362058162689,1.7506224870681748,,,
GSE190260,strong_competing_reference,non_pericyte_competing_score,19593,19593,5.0048669599786715,4.789016246795654,2.0138995170593263,2.549962282180786,5.8071370124816895,12.693336677551265,,,
GSE190260,strong_competing_reference,pericyte_VSMC_conditional_penalty,19593,19593,0.5591173137469121,0.03477158266204051,0.0,0.0,0.6324116491199463,2.5352376601614406,,,
GSE190260,strong_competing_reference,ciliated_score_z,19593,19593,0.48293770559665233,0.0,0.0,0.0,0.13399024307727814,4.6166446685791005,,,
GSE190260,strong_competing_reference,AT2_score_z,19593,19593,1.8337554096601285,0.11881261318922043,-0.24089385569095612,-0.24089385569095612,5.173498630523682,5.955363368988036,,,
GSE190260,strong_competing_reference,macrophage_score_z,19593,19593,0.7277810343684098,-0.03770717605948448,-0.17446820437908173,-0.17446820437908173,2.160301446914673,2.7351179599761957,,,
GSE190260,strong_competing_reference,endothelial_score_z,19593,19593,1.4093781745005474,0.0,0.0,0.0,1.5902795791625977,8.92100677490234,,,
GSE190260,strong_competing_reference,fibroblast_score_z,19593,19593,1.5185809708290947,0.42164698243141174,0.0,0.0,1.4705482721328735,10.531341171264645,,,
GSE190260,strong_competing_reference,mesothelial_score_z,19593,19593,0.47121128890444164,0.0,0.0,0.0,0.5876399278640747,2.0113856315612777,,,
GSE190260,strong_competing_reference,pericyte_VSMC_score_z,19593,19593,2.2814186746303524,0.6267189979553223,0.0,0.0,1.8669519424438477,10.231517219543441,,,
GSE217108,strong_competing_reference,melanocytic_identity_score,3528,3528,0.11248893079362692,0.0,0.0,0.0,0.0,0.6689893960952754,,,
GSE217108,strong_competing_reference,lamcore_identity_score,3528,3528,0.5999081249152418,0.0,0.0,0.0,1.0543487966060638,2.630532383918762,,,
GSE217108,strong_competing_reference,identity_anchor_score,3528,3528,0.5294181818888014,0.0,0.0,0.0,0.681583970785141,2.6467859864234904,,,
GSE217108,strong_competing_reference,support_score,3528,3528,0.5225357475549051,0.0,0.0,0.0,0.0,3.026492345333099,,,
GSE217108,strong_competing_reference,LAM_identity_score,3528,3528,-0.6585516959674355,-0.6550008952617645,-2.2301506996154785,-1.1539143025875092,-0.41319766640663147,1.071683168411254,,,
GSE217108,strong_competing_reference,non_pericyte_competing_score,3528,3528,5.333626387554248,4.0996620655059814,2.084999108314514,2.649842083454132,6.533790349960327,13.522065114974971,,,
GSE217108,strong_competing_reference,pericyte_VSMC_conditional_penalty,3528,3528,0.4011126401245274,0.1494859904460142,0.0,0.0,0.6121494174003601,1.4136470615863785,,,
GSE217108,strong_competing_reference,ciliated_score_z,3528,3528,1.260448922118058,0.0,0.0,0.0,0.9340239316225052,10.881343078613247,,,
GSE217108,strong_competing_reference,AT2_score_z,3528,3528,0.14231579064179148,-0.1433180794119835,-0.5613592863082886,-0.34045203775167465,0.2848550006747246,2.2118146777153007,,,
GSE217108,strong_competing_reference,macrophage_score_z,3528,3528,0.8346107120577102,0.0,0.0,0.0,1.298249065876007,3.2476076006889327,,,
GSE217108,strong_competing_reference,endothelial_score_z,3528,3528,1.9165344262525204,0.6460689604282379,0.0,0.0,3.8661131262779236,6.625917530059811,,,
GSE217108,strong_competing_reference,fibroblast_score_z,3528,3528,2.030821771527769,0.0,0.0,0.0,1.9576259553432465,11.593316888809197,,,
GSE217108,strong_competing_reference,mesothelial_score_z,3528,3528,0.6275423523756652,0.0,0.0,0.0,0.0,3.4567890882492023,,,
GSE217108,strong_competing_reference,pericyte_VSMC_score_z,3528,3528,1.076177230197725,0.7093610465526581,0.0,0.0,1.544228732585907,3.6084130287170293,,,
