"gene_symbol","GSM2795553","GSM2795554","GSM2795555","GSM2795556","GSM2795557","GSM2795558","GSM2795559","GSM2795560","GSM2795561"
"MIR208B",4.11371374130249,4.21055126190186,4.22998046875,4.1375207901001,4.11469316482544,4.5833044052124,4.1867618560791,4.21055126190186,4.25449275970459
"MIR20B",3.54593014717102,3.4531626701355,3.3858437538147,3.42350840568542,3.48305177688599,3.5534200668335,3.50444674491882,3.34944868087769,3.371009349823
"MIR21",8.57978439331055,7.86729860305786,7.98097515106201,9.59251689910889,9.44479560852051,8.99836540222168,7.60270500183105,7.78494787216187,8.11070919036865
"MIR210",5.62057876586914,5.93533134460449,5.97646379470825,5.75848150253296,5.8096194267273,5.91516780853271,6.11092948913574,5.89148855209351,5.78119564056396
"MIR210HG",5.88641428947449,5.83520293235779,5.94598817825317,5.96657490730286,5.85838031768799,5.98190188407898,6.27872610092163,6.44254994392395,6.21179342269897
"MIR211",4.48145914077759,4.71914720535278,4.80484008789062,4.73522424697876,4.74782562255859,4.82001256942749,4.63940334320068,4.46805334091187,4.60048055648804
"MIR2113",6.24015617370605,6.42908048629761,6.74220132827759,6.33887386322021,6.11784744262695,6.2877368927002,6.48856544494629,6.35573577880859,6.22959470748901
"MIR2113HG",3.96957170963287,3.98497593402863,3.95594072341919,3.97064924240112,3.94031453132629,3.97099125385284,3.93942606449127,4.00475990772247,3.95611274242401
"MIR2114",3.61318969726562,3.89760780334473,3.64548373222351,3.69381189346313,3.75189447402954,3.65563917160034,3.69461107254028,3.50026440620422,3.56727290153503
"MIR2116",4.61266183853149,4.34799242019653,4.45360279083252,4.45360279083252,4.38389158248901,4.53224658966064,4.64428520202637,4.43786525726318,5.0256872177124
"MIR2117",4.99642372131348,5.08612871170044,5.20680236816406,4.9835057258606,5.02768611907959,5.02768611907959,5.04977655410767,5.02768611907959,4.97723865509033
"MIR212",3.19774079322815,3.42686176300049,3.31752586364746,3.31313753128052,3.35112929344177,3.42614889144897,3.31500959396362,3.35112929344177,3.50410795211792
"MIR215",4.53378868103027,4.3990044593811,4.65965557098389,4.82251787185669,4.54027652740479,4.54027652740479,4.36411762237549,4.50562381744385,4.57290172576904
"MIR216A",3.76155281066895,3.69896984100342,3.76155281066895,3.76633071899414,3.76155281066895,3.83185338973999,3.92820644378662,3.75318098068237,3.73780345916748
"MIR216B",4.23563575744629,4.11387825012207,4.3200535774231,4.27669668197632,4.17709398269653,4.4267692565918,4.13586664199829,4.23563575744629,4.21052932739258
"MIR217",3.848552942276,3.95323872566223,3.92571711540222,3.98092794418335,3.98342227935791,3.96463823318481,3.90070033073425,4.02887392044067,3.94826459884644
"MIR218-1",5.20344352722168,5.31735134124756,5.00099277496338,5.2218713760376,5.11148357391357,5.10737705230713,4.87856101989746,5.11148357391357,5.13795948028564
"MIR218-2",4.9555196762085,4.9555196762085,5.02476739883423,4.88563346862793,5.00801563262939,4.99226427078247,4.94049739837646,4.8507022857666,4.80188608169556
"MIR219A1",3.09391164779663,3.11441397666931,3.10469365119934,3.1331262588501,3.04179525375366,3.06344771385193,3.11006999015808,3.0986635684967,3.13349223136902
"MIR219A2",4.6264705657959,4.79740428924561,5.16462564468384,4.69014930725098,4.67135810852051,4.83054208755493,4.60998582839966,4.6770396232605,4.62722301483154
"MIR219B",3.67132925987244,3.69851112365723,3.7241849899292,3.72941422462463,3.75887393951416,3.7241849899292,3.77396583557129,3.6970329284668,3.75302457809448
"MIR221",9.38614654541016,8.95160865783691,8.64110946655273,9.59628772735596,9.61769199371338,9.48411655426025,7.60611581802368,7.65765476226807,7.74326419830322
"MIR222",6.62373065948486,6.07033205032349,6.2011981010437,6.46506214141846,6.76932859420776,6.22292137145996,5.35104846954346,5.5866870880127,6.04283046722412
