gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_P.Value_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,tsc2_loss_hydrogel,tsc2_loss_hydrogel_moderated_q,residual_hydrogel,residual_hydrogel_moderated_q,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,escape_hydrogel,escape_hydrogel_moderated_q,environment_dependent_escape,environment_dependent_escape_moderated_q
RN7SL382P,,,,,,,,,,-0.0046240718801423,1.0,-0.0489586160031164,1.0,-0.1502345905775574,1.0,-0.0443345441229741,1.0,-0.3715966433887775,1.0
RN7SL383P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL384P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0655306574326849,1.0
RN7SL385P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0139707525794594,1.0
RN7SL386P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL387P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL388P,,,,,,,,,,-0.045803175298459,1.0,-0.0712740014449762,1.0,-0.0696576406062733,1.0,-0.0254708261465172,1.0,-0.003034294419397,1.0
RN7SL38P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
RN7SL390P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL391P,,,,,,,,,,-0.0318282668192557,1.0,0.0,1.0,0.0,1.0,0.0318282668192557,1.0,-0.0016809459306365,1.0
RN7SL392P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL393P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0268956840189269,1.0,0.0,1.0,0.0268956840189269,1.0
RN7SL394P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL395P,,,,,,,,,,-0.0915582472908394,0.4104522361057666,0.0,1.0,0.0,1.0,0.0915582472908394,0.9855208509844828,0.0746090803261398,1.0
RN7SL396P,,,,,,,,,,0.0,1.0,0.0,1.0,-0.0324465450418669,1.0,0.0,1.0,-0.1434922487268129,1.0
RN7SL397P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL398P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL399P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL39P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL400P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
