gene,mean,median,max,count
DDIT4L,1.044292388,0.0,3.132877164,3
RASGEF1A,1.0834088448,0.3246745,3.132805572,5
FAM175B,3.127988027,3.127988027,3.127988027,1
CRHR1-IT1,0.8969364622307693,0.311017,3.126480732,13
SNRPB,1.2719781795,0.951566466,3.125709146,4
PGBD5,1.3610521136666665,0.827048841,3.125095,3
SF3B6,1.7169891115,1.7169891115,3.124550631,2
APRT,1.2713877459090908,0.749628026,3.122903963,11
HSPH1,1.116887252111111,1.039128874,3.122571411,9
RHOU,3.119807778,3.119807778,3.119807778,1
SALL2,0.9022489775714285,0.851100939,3.119146737,7
RHPN2,0.6883568865714286,0.297338163,3.118046634,7
RASEF,2.124137953,2.124137953,3.11752861,2
RABL6,1.03508041225,0.7070104779999999,3.116630353,12
CEBPG,2.9742485995,2.9742485995,3.115502943,2
RNF125,0.7877616128,0.0,3.112848064,5
RGCC,2.2543775,2.2543775,3.112565,2
HOXC13,3.110181114,3.110181114,3.110181114,1
HES6,0.4083093525555556,0.0,3.109804673,9
SLITRK3,1.7528008333333334,1.93387,3.10942,3
MORF4L2,0.8856897827333333,0.717292793,3.109198773,15
ATG9A,0.658282622,0.48244746250000003,3.106185,22
TPGS2,0.6958823066666666,0.504142791,3.104978039,21
EPRS,0.8647174243333332,0.18175675,3.100515191,6
DKC1,0.8562056104615384,0.557561729,3.0992,13
TFIP11,0.5803640219411764,0.260845089,3.098495683,17
NEK3,0.6617045473636364,0.279027579,3.097381218,11
ARMC6,0.53631741295,0.14589565599999998,3.097264527,20
BLMH,0.4672399517162308,0.1064225,3.093478899,13
EXO1,0.9007447249166667,0.19987869749999998,3.092124062,12
CKAP2,1.2735965037142858,0.931121629,3.091476943,7
ZSCAN30,0.5979249321818182,0.400681104,3.090455736,11
NUP133,0.9792260605,0.30668307149999996,3.088437599,4
GINS4,1.0869476012222221,0.32981,3.086602272,9
RPL22,1.1867874675,1.2140706735,3.083802296,8
PLEKHG2,0.6107535078125,0.244800442,3.082380838,16
CHD1L,0.7897564872,0.49093006299999997,3.081540118,10
WISP1,0.7860930482,0.1235965,3.080183363,5
ASPHD2,3.078354778,3.078354778,3.078354778,1
UBE2D3,0.6462472157272727,0.422149222,3.077938628,33
FBL,0.9514131834166667,0.41678832499999996,3.075899301,24
ELOVL1,0.4244341101264125,0.208087967,3.066696636,16
DSG2,1.646665608,1.646665608,3.064624216,2
GEMIN4,0.9408912384285715,0.562491695,3.063119327,7
SESN2,3.06239144,3.06239144,3.06239144,1
ZNF614,0.9775372959999999,0.4036193,3.060447498,4
FOS,0.3962473168,0.049988450000000004,3.056674268,10
CLK2,1.3847582022857143,1.146914837,3.056483382,14
RFXAP,1.5266038385,1.5266038385,3.053207677,2
SLC4A1AP,0.9416160111666666,0.43101899499999996,3.051954024,6
RPL37A,1.5832426293846154,1.720879412,3.047215,13
ASNS,0.6308910591764706,0.424274,3.042376696,17
ABHD11,0.4212801552857143,0.2170620325,3.041956993,14
TIMM8A,2.5928949365,2.5928949365,3.04105901,2
GOLGA8B,0.9893312605454546,0.785534456,3.039335703,11
SLC19A1,0.5088840501666666,0.079057549,3.038241487,12
H3F3AP4,3.037459283,3.037459283,3.037459283,1
ANP32A,1.1321546937272726,0.59059,3.034328403,11
TCF24,1.9847074999999998,1.9847074999999998,3.02702,2
