gene_symbol,tpm.103cell_siCtrl,tpm.103cell_siSTAT3,tpm.103cell_Rap,tpm.102cell_siCtrl,tpm.102cell_siSTAT3,tpm.102cell_Rap
FADS2,289.13451,240.805159,408.53803400000004,125.5095571,123.4851028,41.1958112
TMEM258,158.20435,173.935964,207.2816318,137.2007193,150.863736,189.177153
TCN1,0.175994,0.0,0.542145,0.0,0.0,0.114958
CEP135,11.966005000000001,11.442008,10.265003,23.4110826,20.457792,16.934145
PDGFRA,1.7789115999999998,0.77597,2.157051,3.90817701705,4.0481362,2.6256192
BIVM,29.05033,30.67899,24.859550000000002,18.201367,18.521812,17.049558700000002
CARS2,144.49505,163.849715,124.053493,31.405260000000002,31.581386,28.57511030212049
ADAMTS8,0.0,0.0,0.0138683,0.555531,0.529573,1.14537
KLB,0.0581613,0.0964371,0.0540724,0.237147,0.166352,0.0906603
SEMA6A,0.319827,0.5582907,0.24600899999999998,15.5961087,16.453673,9.04811778
APC,16.036837,18.240783,12.845679,18.678504,18.985133,7.5748048
NREP,19.763976,19.470522,21.450762,21.6535246,22.143225,20.8364779
UBQLN1,141.22563,142.12795,129.64876,94.93698,98.39999,69.92699999999999
ANXA1,1070.1397,1196.30759,773.603601,71.431702,73.435085,28.785873000000002
GOLM1,62.388466,59.562166999999995,61.013976,75.350291,74.516858,68.783879
FAM189A2,0.0,0.0,0.0390975,1.4963132000000001,1.3522688999999999,1.4156520000000001
ADAM19,9.4861665,8.35274,10.370879599999999,5.45653,5.30408,4.0149
CCNJL,3.3643609999999997,2.161731,1.8342800000000001,2.4057950000000003,2.5427394999999997,2.1623592240000002
USP30,12.221677,11.858756,13.744294,10.593106,9.923456,8.436468
SDS,0.4227737,0.2787891,0.433089,0.3581639,0.1114905,0.0608879
MSI1,0.1000818,0.0,0.1029274,25.770873,19.79073,22.124561
HNF1A,0.0,0.0954884,0.0501094,0.151026,0.0266652,0.0359895
TBX3,33.53751,30.76221,30.260730000000002,27.99648,23.873759999999997,20.23189
OASL,21.355838,21.497426,35.25717,6.3259589,8.173796,2.606919
HRK,17.843700000000002,17.281370000000003,18.425957,2.3480126,2.390766,2.0094472
RNFT2,8.113081399999999,7.050326,6.4710434,4.721349,6.5190111,7.034267
DTX1,0.0258627,0.0,0.0,0.0524084,0.0343453,0.08471719999999999
TRAFD1,40.602293,41.510476,42.385211,42.853499,43.940992,37.15142
ASB4,0.100534,0.124491,0.0598526,0.0763644,0.1798721,0.1771588
GSAP,17.84488,16.875704,21.138778,1.1027799,1.4527368999999999,0.5714936
OCM2,0.0,0.0,0.0,0.0,0.0,0.0
UPK3B,0.573422,0.0,0.2085431,0.0,0.030752,0.0971046
TMEM243,53.3117139,58.479245,54.5201147,30.586727,30.137422,27.398131000000003
TMEM60,62.0198,66.4926,59.0987,20.0694,20.0554,20.1607
PNPLA8,30.318176,35.39268716019,36.083084,20.636726,20.045331,21.293605
HILPDA,16.9980667,14.470748,14.895238,19.953086000000003,23.577351,20.446606
RINT1,22.4676799,22.4129840294623,19.195757,27.470438,27.489504002900002,19.145822000000003
MDFIC,56.41434024146,62.330447155,58.54949000118373,16.674935,17.145862,11.670017
KMT2E,33.938786,40.341142,43.222559000000004,20.422619,19.852890000000002,11.165981
