gene,102cell_siSTAT3_minus_siCtrl,102cell_rapamycin_minus_siCtrl,102cell_siSTAT3_minus_rapamycin,103cell_siSTAT3_minus_siCtrl,103cell_rapamycin_minus_siCtrl,103cell_siSTAT3_minus_rapamycin
MRPS10,0.06432019858699078,-0.03963508016459194,0.10395527875158272,0.22251389265245525,0.025217304642072058,0.1972965880103832
GUCA1A,0.0,0.0,0.0,0.0,0.0,0.0
GRN,-0.15114716075991552,0.28060273320291884,-0.43174989396283436,-0.30588758745037126,0.30833824698062706,-0.6142258344309983
THAP3,0.07128090874231496,0.21518457555079973,-0.14390366680848476,-0.27452788348919865,-0.29078614216933696,0.016258258680138304
VAMP3,-0.009426133893255972,-0.08983941034598253,0.08041327645272656,0.07742330602298608,0.020566960543932034,0.05685634547905405
UTS2,-0.0052103181810666255,0.037204296696391526,-0.04241461487745815,-0.28408173373129175,-0.28408173373129175,0.0
RCN1,0.032956241922448726,-0.0963278114470123,0.12928405336946103,0.051072838534027554,0.0166553573555408,0.03441748117848675
RFC2,0.12259649841671649,0.09216265564332815,0.030433842773388342,0.04191827362601952,0.24898219611052763,-0.2070639224845081
PPP1R3F,0.336541948899987,0.6823525136316495,-0.3458105647316625,0.037376815955515674,0.04105121418803792,-0.003674398232522247
KIAA2022,-0.020272456588841692,-0.3208985492952584,0.3006260927064167,0.0,0.0,0.0
ARHGEF5,0.2509813365184571,-0.39693379148723856,0.6479151280056956,0.24146721534211535,-0.02204125445550753,0.2635084697976229
NFE2L3,-0.12368089875559463,-0.07115910028111117,-0.05252179847448346,0.08506518762219706,0.35474441257584033,-0.26967922495364327
TNIP3,0.11859525113626512,-0.3762878823282582,0.49488313346452334,0.23443110894921465,-0.04277862196979021,0.27720973091900486
SIKE1,-0.027926866486376767,-0.496461585741347,0.46853471925497026,-0.007636385617185937,-0.150623319510248,0.14298693389306205
TLL1,0.06101966059117825,-0.37674447003609957,0.4377641306272778,0.07665674161356772,-0.5771080417762815,0.6537647833898492
NNAT,-0.2652056066625324,-0.3387053496794042,0.07349974301687179,-0.4754681865863748,-0.6325063520141478,0.15703816542777305
CBLN4,0.0,0.0,0.0,0.0,0.0,0.0
CLDN11,0.0042086877475489,-0.18963653041450979,0.19384521816205869,-0.3758366236675519,-0.284434169299832,-0.09140245436771988
