pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
unrestricted_lam,program_3,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.01672378565143671
unrestricted_lam,program_1,hypoxia_stress,LAM-shared,supported,gene_set,1,VEGFA,0.01694915254237288,0.16159190872433812
unrestricted_lam,program_2,hypoxia_stress,LAM-shared,supported,gene_set,3,"HIF1A,HSPA1B,VEGFA",0.05263157894736842,-0.1655954488724978
unrestricted_lam,program_3,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.10520345897826071
unrestricted_lam,program_1,cell_cycle,LAM-shared,contextual,gene_set,1,TYMS,0.017543859649122806,-0.21114689184597407
unrestricted_lam,program_2,cell_cycle,LAM-shared,contextual,gene_set,1,TYMS,0.017543859649122806,0.29339117857169933
unrestricted_lam,program_3,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.09802876411827097
unrestricted_lam,program_1,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.010860665465243852
unrestricted_lam,program_2,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.0716232689640605
unrestricted_lam,program_3,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.08471971388371698
unrestricted_lam,program_1,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"DES,MYH11",0.03571428571428571,-0.03420278571202381
unrestricted_lam,program_2,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"DES,MYH11",0.03571428571428571,-0.1834870624528219
unrestricted_lam,program_3,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"DES,MYH11",0.03571428571428571,0.229327280268559
unrestricted_lam,program_1,normal_lung_interstitial,lineage/reference,reference,gene_set,1,COL1A2,0.017543859649122806,-0.3244878307764297
unrestricted_lam,program_2,normal_lung_interstitial,lineage/reference,reference,gene_set,1,COL1A2,0.017543859649122806,0.4811663088552223
unrestricted_lam,program_3,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.1964061049611041
