names,scores,logfoldchanges,pvals,pvals_adj
RBFOX2,3.5147672,1.8749149,0.0004401395271834252,0.0251586756485269
MAP1B,3.4987688,3.017361,0.00046741181116637657,0.026456339466347876
FGFR1,3.4856527,2.6390634,0.000490938151469864,0.027640555854240963
PPIC,3.4720814,1.6329464,0.0005164398733743284,0.028999419591584752
EID1,3.4507225,0.759665,0.0005590880172190821,0.031147023335485118
AHNAK2,3.444313,4.516208,0.000572512485217117,0.031811411449537835
NOVA1,3.4367847,4.113566,0.0005886634150320893,0.032566742205906475
RPS4X,3.4285169,0.2217375,0.0006068890921010384,0.03331454889458433
ADI1,3.426235,1.3360096,0.0006120109613624956,0.033566771737019496
PGRMC1,3.422278,1.5302193,0.0006209881174410805,0.03397135769269388
ENAH,3.4171958,2.1753306,0.0006326976399165028,0.034493396932331465
RPS27L,3.4002428,0.46316317,0.0006732605183118891,0.03645511056509027
MYL6B,3.3699207,2.0845253,0.0007518980419518403,0.04013295190055937
ACTN1,3.3696616,1.530604,0.0007526054960271106,0.04013706881952958
CYGB,3.36585,3.0517492,0.0007630819002340284,0.04055990497596179
TIMP2,3.3481953,1.1027973,0.0008133965308805233,0.04294747172212196
THBS2,3.337102,7.425718,0.0008465689215050699,0.04435962870508599
PDZRN3,3.320781,6.643704,0.0008976593605874619,0.04658537498298925
DST,3.314068,1.5537752,0.0009194911416206908,0.04756331228674308
TMEM176A,3.3099785,1.8415813,0.0009330317866748356,0.048085870433054644
ZNF106,3.2963755,1.6718317,0.0009794101007766815,0.05025455035226169
LAPTM4B,3.2927852,1.8901837,0.000992002438679569,0.050807613181121716
HSPA2,3.2523937,4.7482443,0.001144373721952526,0.05733303343254996
EGR1,3.2427604,1.6531303,0.001183776790112917,0.05912106248158448
ZFP36L1,3.2415912,1.0020462,0.0011886443659237884,0.059317638941166984
RAB23,3.2308517,5.5957136,0.001234219754385608,0.061296622111286996
UQCRH,3.230662,0.43032593,0.0012350388078706787,0.061296622111286996
AP2M1,3.197129,0.95645934,0.0013880286609665455,0.06783231085523156
EPN2,3.194139,2.3914638,0.0014024852753422462,0.06848623840334986
AC131025.8,3.1911619,7.229058,0.001417018603944197,0.06908545378878693
VCL,3.1860166,2.0202541,0.0014424634059262494,0.07016939824229623
ITGB1BP1,3.1791646,1.522884,0.0014770021364282151,0.07141310937079685
CARHSP1,3.1743543,1.4074928,0.0015017028856953549,0.07227810631324498
NFIA,3.1673253,1.4565275,0.0015384813825075829,0.07388075338909152
PGM5,3.138299,3.3309717,0.0016993139858892847,0.08045146221522081
MIR4458HG,3.1323447,2.0415003,0.0017341617281091807,0.08185783273595872
CUTA,3.1197722,0.7250298,0.001809910039994182,0.08486718823027212
PDE5A,3.11926,4.189923,0.0018130583017488104,0.0849522542166733
SDCBP,3.1142159,0.52892345,0.0018443446397010568,0.08610141761161598
DAPL1,3.1097026,3.8481312,0.0018727573490643407,0.08704494139881022
ATP5G3,3.1091528,0.52649015,0.0018762467476816558,0.08714351871052137
BACE2,3.100891,2.3319547,0.001929391807736161,0.08935679662510744
CIRBP,3.0932112,0.2858867,0.001980032181573466,0.09089173567821111
RPL27A,3.0887675,0.23299116,0.0020098870575349422,0.09194222569156071
TMEM9,3.0842984,1.8451791,0.0020403279406617765,0.09306730822171916
AKR7A2,3.0745199,1.3965257,0.002108417093649509,0.09576153728410827
RPS3A,3.0712833,0.09016483,0.0021314070555173794,0.09659900859372254
HAND2-AS1,3.046758,7.5746245,0.002313239901615073,0.10348247030895363
ADAMTS1,3.0418906,3.139049,0.0023509729094015144,0.10476060318541655
TSC22D1,3.0351272,0.9932992,0.0024043431394697415,0.10653707536684645
MMP11,3.0350134,8.002439,0.00240525036670962,0.10653707536684645
GOLM1,3.0348995,2.654389,0.0024061579072869915,0.10653707536684645
PDGFRB,3.0257783,3.6868935,0.002479940472639171,0.10898899934768652
MRGPRF,3.025715,6.4436593,0.0024804589313461235,0.10898899934768652
MIR145,3.0255508,6.063803,0.0024818073881330066,0.10898899934768652
COL4A1,3.0111263,2.3766322,0.0026028068271991152,0.11328703372218596
PCDH7,3.008661,4.4793468,0.0026240176331077383,0.11397651488635842
HSPB8,3.0008101,3.3112345,0.0026926231180255055,0.11608541793264057
GULP1,2.988105,3.038775,0.00280713138875036,0.11988578500433043
FAM127A,2.9847422,1.5876192,0.0028381744711785243,0.12096816318690422
USP53,2.984388,2.3473969,0.0028414603321283262,0.12102720372504042
FAM162A,2.9811835,1.2914653,0.0028713675670117493,0.12213765702378568
RPL4,2.9734716,0.0430152,0.0029445150303153062,0.1241320619633921
RPLP0,2.9554694,0.101185694,0.0031219361411619793,0.13070054415566823
GPR137B,2.9530106,1.5550975,0.0031469119044457133,0.13157315124057103
IGFBP5,2.9468603,2.1507807,0.0032101829904303244,0.13404250641418478
MXRA7,2.9201727,2.3046463,0.003498373572551296,0.14427845464983735
IGFN1,2.9083335,8.346243,0.003633606189946636,0.14898721272197807
FBXO17,2.9056787,4.54833,0.003664575798383134,0.14996734775941056
TACC1,2.9020884,1.2077899,0.0037068402936674427,0.15116305183554876
FAP,2.9006093,7.7256193,0.003724380594221505,0.15144149623131722
COX7A2,2.8975434,0.10565785,0.003760975959448895,0.1528310293820267
BHMT2,2.895211,7.1422048,0.003789037201272554,0.1536730273086927
YBX1,2.8911529,0.42340773,0.00383831304681235,0.15528097832393264
ITGA1,2.886741,2.1167805,0.0038925471348051845,0.1569716089942163
BCAS4,2.8865511,3.020373,0.0038948936383758933,0.1569716089942163
YWHAE,2.8719118,0.6965585,0.004079969662758001,0.1636054311823901
IDH3B,2.86676,1.3136423,0.0041469730761648236,0.16597536428092236
POLR2L,2.8456857,0.5382335,0.004431590970683444,0.1754915536319712
ATF3,2.8436756,2.234415,0.0044596424152801226,0.17649263522547692
MRFAP1,2.8380942,0.8393022,0.004538379362587118,0.1791632874590576
