dataset,patient_id,identity_pool,gene,n_cells,n_assayed_cells,not_assayed_fraction,not_detected_fraction_among_assayed,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed,detected_unclassified_fraction_among_assayed
GSE135851,LAM2,unrestricted_lam,GPNMB,5506,5506,0.0,0.48492553577915004,0.51507446422085,0.12422811478387213,0.12350163458045768,0.26734471485652017
GSE135851,LAM3,broad_lam_like,PMEL,1005,1005,0.0,0.9592039800995025,0.04079601990049751,0.011940298507462687,0.004975124378109453,0.023880597014925373
GSE135851,LAM3,broad_lam_like,MLANA,1005,1005,0.0,0.9990049751243781,0.0009950248756218905,0.0,0.0,0.0009950248756218905
GSE135851,LAM3,broad_lam_like,TYRP1,1005,1005,0.0,0.9990049751243781,0.0009950248756218905,0.0,0.0,0.0009950248756218905
GSE135851,LAM3,broad_lam_like,DCT,1005,1005,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM3,broad_lam_like,MITF,1005,1005,0.0,0.7761194029850746,0.22388059701492538,0.07164179104477612,0.03681592039800995,0.1154228855721393
GSE135851,LAM3,broad_lam_like,GPNMB,1005,1005,0.0,0.43283582089552236,0.5671641791044776,0.11641791044776119,0.1701492537313433,0.28059701492537314
GSE135851,LAM3,high_confidence,PMEL,190,190,0.0,0.7263157894736842,0.2736842105263158,0.042105263157894736,0.13157894736842105,0.1
GSE135851,LAM3,high_confidence,MLANA,190,190,0.0,0.9736842105263158,0.02631578947368421,0.0,0.0,0.02631578947368421
GSE135851,LAM3,high_confidence,TYRP1,190,190,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM3,high_confidence,DCT,190,190,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM3,high_confidence,MITF,190,190,0.0,0.7578947368421053,0.24210526315789474,0.06315789473684211,0.06315789473684211,0.11578947368421053
GSE135851,LAM3,high_confidence,GPNMB,190,190,0.0,0.3684210526315789,0.631578947368421,0.08421052631578947,0.3157894736842105,0.23157894736842105
GSE135851,LAM3,unrestricted_lam,PMEL,5686,5686,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM3,unrestricted_lam,MLANA,5686,5686,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM3,unrestricted_lam,TYRP1,5686,5686,0.0,0.9994723883221949,0.0005276116778051355,0.0,0.0,0.0005276116778051355
GSE135851,LAM3,unrestricted_lam,DCT,5686,5686,0.0,0.9996482588814632,0.00035174111853675694,0.0,0.0,0.00035174111853675694
GSE135851,LAM3,unrestricted_lam,MITF,5686,5686,0.0,0.870383397819205,0.12961660218079493,0.030601477312697856,0.03095321843123461,0.06806190643686247
GSE135851,LAM3,unrestricted_lam,GPNMB,5686,5686,0.0,0.6672529018642279,0.3327470981357721,0.09391487864931411,0.07826239887442842,0.16056982061202954
GSE135851,LAM4,broad_lam_like,PMEL,344,344,0.0,0.9622093023255814,0.0377906976744186,0.00872093023255814,0.011627906976744186,0.01744186046511628
GSE135851,LAM4,broad_lam_like,MLANA,344,344,0.0,0.9912790697674418,0.00872093023255814,0.0,0.0,0.00872093023255814
GSE135851,LAM4,broad_lam_like,TYRP1,344,344,0.0,0.997093023255814,0.0029069767441860465,0.0,0.0,0.0029069767441860465
GSE135851,LAM4,broad_lam_like,DCT,344,344,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM4,broad_lam_like,MITF,344,344,0.0,0.7906976744186046,0.20930232558139536,0.029069767441860465,0.08430232558139535,0.09593023255813954
GSE135851,LAM4,broad_lam_like,GPNMB,344,344,0.0,0.747093023255814,0.25290697674418605,0.11918604651162791,0.0436046511627907,0.09011627906976744
GSE135851,LAM4,high_confidence,PMEL,105,105,0.0,0.7333333333333333,0.26666666666666666,0.0380952380952381,0.14285714285714285,0.08571428571428572
GSE135851,LAM4,high_confidence,MLANA,105,105,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,0.02857142857142857
GSE135851,LAM4,high_confidence,TYRP1,105,105,0.0,0.9904761904761905,0.009523809523809525,0.0,0.0,0.009523809523809525
GSE135851,LAM4,high_confidence,DCT,105,105,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM4,high_confidence,MITF,105,105,0.0,0.6476190476190476,0.3523809523809524,0.11428571428571428,0.13333333333333333,0.10476190476190476
GSE135851,LAM4,high_confidence,GPNMB,105,105,0.0,0.45714285714285713,0.5428571428571428,0.18095238095238095,0.12380952380952381,0.23809523809523808
GSE135851,LAM4,unrestricted_lam,PMEL,808,808,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM4,unrestricted_lam,MLANA,808,808,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM4,unrestricted_lam,TYRP1,808,808,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM4,unrestricted_lam,DCT,808,808,0.0,0.9987623762376238,0.0012376237623762376,0.0,0.0,0.0012376237623762376
