dataset,patient_id,identity_pool,n_cells,module,mean_score,median_score,n_genes_available,mean_genes_detected,module_status
GSE135851,Donor1,other,7312,macrophage_suppressive,0.9355148850491647,0.7284799320315596,8,3.3942833698030634,analyzable
GSE135851,Donor1,other,7312,nk_ligands,0.019792067118215496,0.0,5,0.09080962800875274,partial_coverage
GSE135851,Donor1,other,7312,nk_markers,0.3670911943096739,0.0,4,0.6842177242888403,analyzable
GSE135851,Donor1,other,7312,nk_state,0.42695244065953375,0.2190183004062139,5,1.0843818380743981,analyzable
GSE135851,Donor1,other,7312,presentation_machinery,1.2882795797022215,1.2557156411368684,12,5.50519693654267,analyzable
GSE135851,Donor1,other,7312,stem_like,0.04251799108475188,0.0,10,0.31099562363238514,analyzable
GSE135851,Donor1,other,7312,t_cell_exhaustion,0.06289158184287794,0.0,5,0.2687363238512035,analyzable
GSE135851,Donor1,other,7312,t_cell_markers,0.11857324941129045,0.0,6,0.3525711159737418,analyzable
GSE135851,LAM1,broad_lam_like,657,antigen_associated,0.20911718252206013,0.2263588665310052,6,1.091324200913242,analyzable
GSE135851,LAM1,broad_lam_like,657,cd8_cytotoxicity,0.0184026000113967,0.0,5,0.0563165905631659,analyzable
GSE135851,LAM1,broad_lam_like,657,identity_protected,0.12918739551956654,0.1009532386379356,6,0.9497716894977168,partial_coverage
GSE135851,LAM1,broad_lam_like,657,ifn_response,0.46512702118778204,0.4211352934655856,9,3.7595129375951295,analyzable
GSE135851,LAM1,broad_lam_like,657,immune_evasion,0.4102512982439947,0.4329756527421322,6,2.0319634703196345,partial_coverage
GSE135851,LAM1,broad_lam_like,657,inflammatory,0.33567884949608146,0.3145115559737414,9,2.7990867579908674,partial_coverage
GSE135851,LAM1,broad_lam_like,657,macrophage_markers,2.4565250342978704,3.0770363069420448,7,5.856925418569254,analyzable
GSE135851,LAM1,broad_lam_like,657,macrophage_suppressive,2.4104608556684988,2.997073334969913,8,6.582952815829528,analyzable
GSE135851,LAM1,broad_lam_like,657,nk_ligands,0.021425622352339253,0.0,5,0.1933028919330289,partial_coverage
GSE135851,LAM1,broad_lam_like,657,nk_markers,0.01603502708345705,0.0,4,0.0426179604261796,analyzable
GSE135851,LAM1,broad_lam_like,657,nk_state,0.22512650291349423,0.2463821985146888,5,0.7549467275494672,analyzable
GSE135851,LAM1,broad_lam_like,657,presentation_machinery,1.2266124506877985,1.2835721062382597,12,6.409436834094368,analyzable
GSE135851,LAM1,broad_lam_like,657,stem_like,0.08659756640146082,0.074844458721611,10,1.0076103500761036,analyzable
GSE135851,LAM1,broad_lam_like,657,t_cell_exhaustion,0.08065007878703968,0.0515832074316104,5,0.5235920852359208,analyzable
GSE135851,LAM1,broad_lam_like,657,t_cell_markers,0.019126922722260468,0.0,6,0.1278538812785388,analyzable
GSE135851,LAM1,high_confidence,74,antigen_associated,0.4361580752593814,0.3446373571654734,6,1.7162162162162162,analyzable
GSE135851,LAM1,high_confidence,74,cd8_cytotoxicity,0.0040683025899005704,0.0,5,0.02702702702702703,analyzable
GSE135851,LAM1,high_confidence,74,identity_protected,0.6662871204521564,0.3318737045737385,6,2.3378378378378377,partial_coverage
GSE135851,LAM1,high_confidence,74,ifn_response,0.5483556880186871,0.5088658057092532,9,4.013513513513513,analyzable
GSE135851,LAM1,high_confidence,74,immune_evasion,0.3858544807121099,0.4143893277389592,6,1.8918918918918919,partial_coverage
GSE135851,LAM1,high_confidence,74,inflammatory,0.3840703204906786,0.3646081819647212,9,3.027027027027027,partial_coverage
GSE135851,LAM1,high_confidence,74,macrophage_markers,1.7367268898043102,1.5777554080704086,7,4.594594594594595,analyzable
GSE135851,LAM1,high_confidence,74,macrophage_suppressive,1.8432939527256829,1.8106859940848228,8,5.486486486486487,analyzable
GSE135851,LAM1,high_confidence,74,nk_ligands,0.02369729719353475,0.0,5,0.24324324324324326,partial_coverage
GSE135851,LAM1,high_confidence,74,nk_markers,0.0,0.0,4,0.0,analyzable
GSE135851,LAM1,high_confidence,74,nk_state,0.15654344338342097,0.053027437508789,5,0.5,analyzable
GSE135851,LAM1,high_confidence,74,presentation_machinery,1.2103720311074193,1.254451279107579,12,6.324324324324325,analyzable
GSE135851,LAM1,high_confidence,74,stem_like,0.10716702737648445,0.09208650879627645,10,1.1216216216216217,analyzable
GSE135851,LAM1,high_confidence,74,t_cell_exhaustion,0.0610369666410396,0.0,5,0.4189189189189189,analyzable
GSE135851,LAM1,high_confidence,74,t_cell_markers,0.0031774100155738632,0.0,6,0.04054054054054054,analyzable
GSE135851,LAM1,unrestricted_lam,6926,antigen_associated,0.1253262714257381,0.0,6,0.5942824140918279,analyzable
GSE135851,LAM1,unrestricted_lam,6926,cd8_cytotoxicity,0.057760121451588424,0.0,5,0.10929829627490616,analyzable
GSE135851,LAM1,unrestricted_lam,6926,identity_protected,0.0,0.0,6,0.0,partial_coverage
GSE135851,LAM1,unrestricted_lam,6926,ifn_response,0.4329183716185391,0.41795066156500565,9,2.7919434016748483,analyzable
GSE135851,LAM1,unrestricted_lam,6926,immune_evasion,0.33109772656551134,0.32722326558163173,6,1.475166041004909,partial_coverage
GSE135851,LAM1,unrestricted_lam,6926,inflammatory,0.3008628344868811,0.2698425908608394,9,1.968380017326018,partial_coverage
GSE135851,LAM1,unrestricted_lam,6926,macrophage_markers,1.6528630971915141,1.073750588440854,7,4.3420444701126195,analyzable
GSE135851,LAM1,unrestricted_lam,6926,macrophage_suppressive,1.6014570066685139,1.0058259164297954,8,4.8453652902107995,analyzable
GSE135851,LAM1,unrestricted_lam,6926,nk_ligands,0.016541610745391858,0.0,5,0.11290788333814612,partial_coverage
GSE135851,LAM1,unrestricted_lam,6926,nk_markers,0.03577990205484819,0.0,4,0.06338434883049379,analyzable
GSE135851,LAM1,unrestricted_lam,6926,nk_state,0.155416713560811,0.0,5,0.4820964481663298,analyzable
GSE135851,LAM1,unrestricted_lam,6926,presentation_machinery,1.0807149227950512,1.1049575482802017,12,5.42434305515449,analyzable
GSE135851,LAM1,unrestricted_lam,6926,stem_like,0.07976596645403806,0.06900866301156294,10,0.7580132832803927,analyzable
GSE135851,LAM1,unrestricted_lam,6926,t_cell_exhaustion,0.06527981534125851,0.0,5,0.3354028299162576,analyzable
GSE135851,LAM1,unrestricted_lam,6926,t_cell_markers,0.036771631607358184,0.0,6,0.1248917123881028,analyzable
GSE135851,LAM2,broad_lam_like,1310,antigen_associated,0.24756513563965657,0.25391308287301645,6,1.3916030534351145,analyzable
GSE135851,LAM2,broad_lam_like,1310,cd8_cytotoxicity,0.03471851933709827,0.0,5,0.11984732824427481,analyzable
GSE135851,LAM2,broad_lam_like,1310,identity_protected,0.10270644767457385,0.0838920596420466,6,0.9778625954198473,partial_coverage
GSE135851,LAM2,broad_lam_like,1310,ifn_response,0.36831420301861956,0.33363003160403865,9,4.080152671755725,analyzable
GSE135851,LAM2,broad_lam_like,1310,immune_evasion,0.5110124856891788,0.5300112775221941,6,2.3946564885496184,partial_coverage
GSE135851,LAM2,broad_lam_like,1310,inflammatory,0.2934261082896352,0.2748598111546908,9,2.836641221374046,partial_coverage
GSE135851,LAM2,broad_lam_like,1310,macrophage_markers,2.9406512670207543,3.254794014037093,7,6.56793893129771,analyzable
GSE135851,LAM2,broad_lam_like,1310,macrophage_suppressive,2.806383279771981,3.0747041589918,8,7.418320610687023,analyzable
GSE135851,LAM2,broad_lam_like,1310,nk_ligands,0.025258936228488616,0.0,5,0.26106870229007634,partial_coverage
GSE135851,LAM2,broad_lam_like,1310,nk_markers,0.018508157034648857,0.0,4,0.05267175572519084,analyzable
GSE135851,LAM2,broad_lam_like,1310,nk_state,0.30531496134713815,0.3289218574235251,5,0.9244274809160306,analyzable
GSE135851,LAM2,broad_lam_like,1310,presentation_machinery,1.7293055558108352,1.754467749010936,12,7.92442748091603,analyzable
GSE135851,LAM2,broad_lam_like,1310,stem_like,0.07440646402564999,0.058599685647763244,10,1.0389312977099237,analyzable
GSE135851,LAM2,broad_lam_like,1310,t_cell_exhaustion,0.05821379485171936,0.0,5,0.467175572519084,analyzable
GSE135851,LAM2,broad_lam_like,1310,t_cell_markers,0.025310798819329034,0.0,6,0.17557251908396945,analyzable
GSE135851,LAM2,high_confidence,154,antigen_associated,0.29328391695582534,0.2930034652868002,6,1.6363636363636365,analyzable
GSE135851,LAM2,high_confidence,154,cd8_cytotoxicity,0.016125720907972204,0.0,5,0.13636363636363635,analyzable
GSE135851,LAM2,high_confidence,154,identity_protected,0.1767382905071947,0.15139104401042325,6,1.9935064935064934,partial_coverage
GSE135851,LAM2,high_confidence,154,ifn_response,0.4068980741113816,0.3768663985689117,9,4.785714285714286,analyzable
GSE135851,LAM2,high_confidence,154,immune_evasion,0.5465932349018734,0.5481763681195468,6,2.6103896103896105,partial_coverage
GSE135851,LAM2,high_confidence,154,inflammatory,0.3190838396122365,0.30848452912338337,9,3.1493506493506493,partial_coverage
GSE135851,LAM2,high_confidence,154,macrophage_markers,3.093477738918056,3.3128446257768935,7,6.824675324675325,analyzable
GSE135851,LAM2,high_confidence,154,macrophage_suppressive,3.0060580138621473,3.1737972782331747,8,7.779220779220779,analyzable
GSE135851,LAM2,high_confidence,154,nk_ligands,0.026140577578068026,0.0,5,0.33766233766233766,partial_coverage
GSE135851,LAM2,high_confidence,154,nk_markers,0.006071764001655275,0.0,4,0.045454545454545456,analyzable
GSE135851,LAM2,high_confidence,154,nk_state,0.31293712093924764,0.33085218036143704,5,0.9675324675324676,analyzable
GSE135851,LAM2,high_confidence,154,presentation_machinery,1.8000418781189678,1.8290952465903483,12,8.266233766233766,analyzable
GSE135851,LAM2,high_confidence,154,stem_like,0.07497522445495935,0.0702556596756224,10,1.1753246753246753,analyzable
GSE135851,LAM2,high_confidence,154,t_cell_exhaustion,0.06584560886994313,0.0709206912199967,5,0.577922077922078,analyzable
GSE135851,LAM2,high_confidence,154,t_cell_markers,0.00844499225900364,0.0,6,0.12337662337662338,analyzable
GSE135851,LAM2,unrestricted_lam,5506,antigen_associated,0.1448607907008748,0.1255456952286123,6,0.7944061024337087,analyzable
GSE135851,LAM2,unrestricted_lam,5506,cd8_cytotoxicity,0.15202083887450005,0.0,5,0.2804213585179804,analyzable
GSE135851,LAM2,unrestricted_lam,5506,identity_protected,0.0,0.0,6,0.0,partial_coverage
GSE135851,LAM2,unrestricted_lam,5506,ifn_response,0.3290248073524446,0.3123014250827812,9,2.8803123864874682,analyzable
GSE135851,LAM2,unrestricted_lam,5506,immune_evasion,0.4019067868387821,0.4428784794900999,6,1.7083181983290956,partial_coverage
GSE135851,LAM2,unrestricted_lam,5506,inflammatory,0.2438027982434081,0.23952758266854596,9,1.9785688339992735,partial_coverage
GSE135851,LAM2,unrestricted_lam,5506,macrophage_markers,2.055209503877182,2.870549498657275,7,5.023065746458409,analyzable
GSE135851,LAM2,unrestricted_lam,5506,macrophage_suppressive,1.9109588132218776,2.622118923083814,8,5.54522339266255,analyzable
GSE135851,LAM2,unrestricted_lam,5506,nk_ligands,0.01955486221132388,0.0,5,0.1596440247003269,partial_coverage
