gene,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
C1orf143,-0.04966917000000004,-0.24386924533333332,-0.29353841533333336
FANCB,-1.0528810169999996,-0.30200583866666686,-1.3548868556666664
XPO7,-1.0039691765,2.4218764141666664,1.4179072376666664
KCNB1,-0.19154439399999967,-0.044279224333333644,-0.23582361833333332
RGL1,18.220121099999997,3.445448810000002,21.66556991
SEC16A,-0.8015291291666666,0.17272127149999994,-0.6288078576666667
SETBP1,0.005659294888888944,-0.3166415635555553,-0.31098226866666634
KIAA0754,-0.13964810966666663,-0.0008966248333334148,-0.14054473450000005
GJD3,-0.11871748800000004,,
MED6,-5.2517852189999985,2.437230649,-2.8145545699999985
SLC9B2,0.672668211,-0.08413477299999994,0.588533438
LINC00649,,,
FAM131B,-0.5592600123333333,-0.10809692199999998,-0.6673569343333333
SGTB,-0.4413736153333334,-0.17529060566666654,-0.616664221
C11orf95,,,
MYCBP2,-3.655980687333331,-0.6364447786666672,-4.292425465999998
CRX,-2.2690406925,5.400700796333332,3.1316601038333323
IL22RA1,0.9028827233333327,-0.785795863333334,0.1170868599999988
IQCF1,,,-0.050530111000000044
LOC101928741,-0.4416987789999993,-1.8626901579999995,-2.304388936999999
HIST1H2AK,-0.37068983033333336,0.1801359615,-0.19055386883333336
CD96,-0.038031332666666806,-0.19770581416666655,-0.23573714683333336
RNF213,-0.5663658210000007,2.8309260935000005,2.2645602725
RAI1,0.2556395849999995,-0.2346790434999999,0.020960541499999596
LOC101927334,,,
HIST1H4L,-1.323553161666668,-4.066302145666667,-5.389855307333335
HERC4,-2.0894960291111095,0.421963427222221,-1.6675326018888885
DCAF1,-0.35757488233333323,0.10882020266666659,-0.24875467966666664
CHRDL1,,,
LOC101928303,,,
MAMDC2,-2.5144086496666667,1.295806626833333,-1.2186020228333336
TRIM27,-1.055672642666666,0.7537598293333332,-0.30191281333333286
DPH6,0.5233771085555556,-0.039818441000000426,0.4835586675555552
LOC100288590,,,
DCTN5,1.1296212473333345,0.028492001500000086,1.1581132488333346
CECR2,-0.1457771929999998,-0.20389818466666654,-0.34967537766666634
LINC01004,0.6699118581111114,0.584253929,1.2541657871111114
GPR37L1,-0.06327212799999998,,
