dataset,relative_path,file_role,origin,size_bytes,sha256,sha256_status,source_url,manifest_source
GSE135851,raw/GSE135851/extracted/GSM4035470_LAM_Uterus.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,168173479,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035470_LAM_Uterus.mtx.tsv/Uterus_LAM/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,129102720,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035470_LAM_Uterus.mtx.tsv/Uterus_LAM/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,1340760,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035470_LAM_Uterus.mtx.tsv/Uterus_LAM/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,1012180050,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035471_Normal_Uterus.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,208119734,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035471_Normal_Uterus.mtx.tsv/Normal_Uterus/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,129102720,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035471_Normal_Uterus.mtx.tsv/Normal_Uterus/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,1340760,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035471_Normal_Uterus.mtx.tsv/Normal_Uterus/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,1332509997,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035472_Donor1.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,41774240,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035472_Donor1.mtx.tsv/Donor1/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,14008320,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035472_Donor1.mtx.tsv/Donor1/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,816952,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035472_Donor1.mtx.tsv/Donor1/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,232388265,,archive_or_format_verified,,
GSE179044,raw/perturbation/GSE179044/GSE179044_normalized_counts_matrix.csv.gz,downloaded_matrix_or_auxiliary,downloaded_file,4281911,62e8e99ca90fe10f9b1071945ad07e13603de435d686f0c51ff975ba7f56f88d,verified_against_manifest,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179044,perturbation_downloads.yaml
GSE179044,raw/perturbation/GSE179044/GSE179044_raw_counts_matrix.csv.gz,downloaded_matrix_or_auxiliary,downloaded_file,2096202,3819e9fdae0f1f95c1e28e1c8c039d20aca04ddfab8687afef3c858ea31fe013,verified_against_manifest,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179044,perturbation_downloads.yaml
GSE179044,raw/perturbation/GSE179044/GSE179044_rlog_counts_matrix.csv.gz,downloaded_matrix_or_auxiliary,downloaded_file,6950697,b1662d3d582c697da2fe55f3de3450c814bd72cd27b14341a4281358bbbe725f,verified_against_manifest,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179044,perturbation_downloads.yaml
GSE190260,raw/external/GSE190260/extracted/GSM5718713_LAM1110/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,41572,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718713_LAM1110/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,840938,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718713_LAM1110/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,54964601,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718714_LAM1158/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,39083,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718714_LAM1158/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,840938,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718714_LAM1158/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,82488106,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718715_LAM1163/barcodes.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,73321,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718715_LAM1163/features.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,318733,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718715_LAM1163/matrix.mtx.gz,extracted_from_archive,derived_from_downloaded_archive,99598410,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718716_LAM1164-1/LAM1164-1/barcodes.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,35288,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718716_LAM1164-1/LAM1164-1/features.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,318733,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718716_LAM1164-1/LAM1164-1/matrix.mtx.gz,extracted_from_archive,derived_from_downloaded_archive,38159093,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718717_LAM1164-2/LAM1164-2/barcodes.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,31751,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718717_LAM1164-2/LAM1164-2/features.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,318733,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718717_LAM1164-2/LAM1164-2/matrix.mtx.gz,extracted_from_archive,derived_from_downloaded_archive,37061877,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718718_LAM1164-3/LAM1164-3/barcodes.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,34365,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718718_LAM1164-3/LAM1164-3/features.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,318733,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/extracted/GSM5718718_LAM1164-3/LAM1164-3/matrix.mtx.gz,extracted_from_archive,derived_from_downloaded_archive,37381828,,archive_or_format_verified,,
GSE190260,raw/external/GSE190260/samples/GSM5718713_LAM1110.tar.gz,download_archive,downloaded_archive,14391972,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190260,external_file_staging.yaml
GSE190260,raw/external/GSE190260/samples/GSM5718714_LAM1158.tar.gz,download_archive,downloaded_archive,21268584,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190260,external_file_staging.yaml
GSE190260,raw/external/GSE190260/samples/GSM5718715_LAM1163.tar.gz,download_archive,downloaded_archive,100022737,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190260,external_file_staging.yaml
GSE190260,raw/external/GSE190260/samples/GSM5718716_LAM1164-1.tar.gz,download_archive,downloaded_archive,38527088,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190260,external_file_staging.yaml
GSE190260,raw/external/GSE190260/samples/GSM5718717_LAM1164-2.tar.gz,download_archive,downloaded_archive,37425666,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190260,external_file_staging.yaml
GSE190260,raw/external/GSE190260/samples/GSM5718718_LAM1164-3.tar.gz,download_archive,downloaded_archive,37748313,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190260,external_file_staging.yaml
GSE217108,raw/external/GSE217108/GSE217108_RAW.tar,download_archive,downloaded_archive,91904000,,not_recorded,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217108,external_file_staging.yaml
GSE217108,raw/external/GSE217108/extracted/GSM6705232_LAM32.tar.gz,extracted_from_archive,derived_from_downloaded_archive,23113149,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705232_LAM32/LAM32/LAM32.barcodes.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,22700,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705232_LAM32/LAM32/LAM32.mtx.gz,extracted_from_archive,derived_from_downloaded_archive,23160393,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705232_LAM32/LAM32/LAM32.regions.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,532438,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705233_LAM44.tar.gz,extracted_from_archive,derived_from_downloaded_archive,30972512,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705233_LAM44/LAM44/LAM44.barcodes.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,26797,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705233_LAM44/LAM44/LAM44.mtx.gz,extracted_from_archive,derived_from_downloaded_archive,31560254,,archive_or_format_verified,,
GSE217108,raw/external/GSE217108/extracted/GSM6705233_LAM44/LAM44/LAM44.regions.tsv.gz,extracted_from_archive,derived_from_downloaded_archive,382661,,archive_or_format_verified,,
