contrast,program,genotype,condition_a,condition_b,n_a,n_b,mean_a,mean_b,effect_a_minus_b
TSC2_null_minus_reexpressed,CORE1,,,,1,1,3.425545911972393,9.235543911507005,-5.809997999534612
TSC2_null_minus_reexpressed,CORE2,,,,1,1,2.0210501569015755,13.179251936966311,-11.158201780064736
TSC2_null_minus_reexpressed,CORE3_identity,,,,1,1,1.0678226758937943,4.424916234272332,-3.3570935583785375
TSC2_null_minus_reexpressed,ECM_remodeling,,,,1,1,46.435323473032646,29.421783990552036,17.01353948248061
TSC2_null_minus_reexpressed,HOX_PBX,,,,1,1,5.743571595763456,4.709112770636512,1.0344588251269435
TSC2_null_minus_reexpressed,IL6_AT2_repair,,,,1,1,3.5988373726944447,2.5489179437896827,1.049919428904762
TSC2_null_minus_reexpressed,IS_inflammatory,,,,1,1,3.857645791509114,10.658798663883477,-6.801152872374363
TSC2_null_minus_reexpressed,LAF_niche,,,,1,1,6.604596923892112,4.285555888967033,2.319041034925079
TSC2_null_minus_reexpressed,LAM_myogenic_contractile,,,,1,1,8.069831484993225,31.836390007388744,-23.76655852239552
TSC2_null_minus_reexpressed,MDK_dormancy_persistence,,,,1,1,8.400880643806584,12.41065013967894,-4.009769495872357
TSC2_null_minus_reexpressed,SLS_stem_like,,,,1,1,1.8448525740603912,3.381865760126457,-1.5370131860660656
TSC2_null_minus_reexpressed,TGFbeta_fibroblast,,,,1,1,9.397714323247861,29.444623014387464,-20.046908691139603
TSC2_null_minus_reexpressed,biomarker_VEGFD_PMEL_CCL14_MMP8,,,,1,1,0.04776618823333333,0.027300340350877195,0.020465847882456138
TSC2_null_minus_reexpressed,cell_cycle,,,,1,1,42.914169374900794,51.25669005555556,-8.342520680654765
TSC2_null_minus_reexpressed,hormone_related,,,,1,1,0.26404778448408955,0.8743202844469256,-0.610272499962836
TSC2_null_minus_reexpressed,hypoxia_stress,,,,1,1,14.617323345396295,13.559284160683049,1.0580391847132464
TSC2_null_minus_reexpressed,lineage_uterine_smooth_muscle,,,,1,1,8.069831484993227,31.836390007388744,-23.766558522395517
TSC2_null_minus_reexpressed,mTOR_translation,,,,1,1,118.41426475289144,65.49952639313855,52.91473835975289
TSC2_null_minus_reexpressed,macrophage_TREM2_TYROBP,,,,1,1,0.5156047974212454,2.7323198140721248,-2.2167150166508796
TSC2_null_minus_reexpressed,normal_lung_interstitial,,,,1,1,12.62354094750916,7.2992992348099826,5.324241712699177
TSC2_null_minus_reexpressed,protease_ECM_niche,,,,1,1,38.111961545162195,37.96913942779311,0.1428221173690858
