gene,environments,mean_suppression_fraction,categories,cross_environment_retention_candidate
AC097634.4,1,0.8641349420169518,suppressed,False
AC097637.1,1,1.3744467492157815,suppressed,False
AC098595.1,1,0.7139021103242333,partially_retained,False
AC098650.1,1,0.28296496693316,partially_retained,False
AC098818.2,1,0.8034707932022447,suppressed,False
AC099344.3,1,1.3355026171762399,suppressed,False
AC099548.2,2,0.7608020644706492,partially_retained;suppressed,True
AC099786.1,2,-0.17370942096738234,enhanced_or_reprogrammed;fully_retained,True
AC099786.2,2,-0.1280755201462555,enhanced_or_reprogrammed;fully_retained,True
AC099786.3,2,-0.27174990487446793,enhanced_or_reprogrammed,True
AC100861.2,1,0.26164898839508965,partially_retained,False
AC103702.1,2,0.33253903559957493,fully_retained;partially_retained,True
AC103740.1,1,1.045374608370159,suppressed,False
AC103853.2,1,0.887254096376841,suppressed,False
AC103923.1,1,0.6036088983847387,partially_retained,False
AC104041.1,1,-0.6519266748162547,enhanced_or_reprogrammed,False
AC104389.5,1,1.0920522373220822,suppressed,False
AC104452.1,2,0.6825045495941251,fully_retained;suppressed,True
AC104825.1,1,0.711394048423547,partially_retained,False
AC105235.1,1,0.9165026867851351,suppressed,False
AC105339.2,1,0.4220829970270549,partially_retained,False
AC105383.1,1,-0.18526992494721406,enhanced_or_reprogrammed,False
AC105429.1,1,0.8735171632015554,suppressed,False
AC106779.1,1,0.7649865884446982,suppressed,False
AC106782.1,1,0.25776603692609124,partially_retained,False
AC107027.3,2,0.6209932144379205,partially_retained,True
AC107398.3,2,0.4899849498728102,partially_retained,True
AC107871.1,1,0.6944735907009123,partially_retained,False
AC107953.2,2,0.6480665494448345,partially_retained;suppressed,True
AC107956.1,2,0.0223175831265906,fully_retained,True
AC107959.4,1,0.9673930248406305,suppressed,False
AC108010.1,1,0.9378425223386722,suppressed,False
AC109460.3,1,0.33491238574820714,partially_retained,False
AC110285.6,2,0.9002347893776361,partially_retained;suppressed,True
AC110597.1,1,0.8244739238169264,suppressed,False
AC110597.3,1,0.8299576143914099,suppressed,False
AC110611.1,1,1.7570321997222365,suppressed,False
AC112220.2,2,0.691620857556378,partially_retained;suppressed,True
AC112229.3,1,0.26425864233809526,partially_retained,False
AC113189.2,1,0.9635620199559755,suppressed,False
AC113398.2,1,0.5846195058409379,partially_retained,False
AC114284.1,1,-0.3787314473993191,enhanced_or_reprogrammed,False
AC114401.1,1,0.6187778162198286,partially_retained,False
AC114490.1,1,0.28199377929029446,partially_retained,False
AC114803.1,2,0.9647671775623344,suppressed,False
AC116158.3,1,1.0912425422493288,suppressed,False
AC116351.1,1,1.3485226741423066,suppressed,False
AC116366.1,2,0.37195842051301586,fully_retained;partially_retained,True
AC116533.1,1,0.6711637811616886,partially_retained,False
AC116535.1,1,0.4628176819606903,partially_retained,False
AC116667.1,2,0.26595105534324526,fully_retained;partially_retained,True
AC117498.1,1,0.9968532279455323,suppressed,False
AC120053.1,1,0.45548430434569376,partially_retained,False
AC120057.2,1,1.5787256276750665,suppressed,False
AC122129.1,1,0.776307005090867,suppressed,False
AC124798.1,1,0.7568084139938188,suppressed,False
AC124944.2,1,0.2696805542207128,partially_retained,False
AC125494.1,2,1.410252645879337,suppressed,False
AC125611.3,1,1.0825518452426268,suppressed,False
AC125807.2,1,0.815697485204561,suppressed,False
AC126283.1,1,0.8399542523910837,suppressed,False
AC126335.2,2,1.0610442589923357,partially_retained;suppressed,True
AC131160.1,1,0.9664209993970921,suppressed,False
AC132217.1,2,0.7302475016494762,partially_retained;suppressed,True
AC132812.1,1,0.7118955092233072,partially_retained,False
AC132938.6,1,0.9738163690750574,suppressed,False
AC133552.2,1,1.2296830480395702,suppressed,False
AC134312.5,1,0.8803189273782105,suppressed,False
AC135048.1,1,0.5376222891028442,partially_retained,False
AC135457.1,1,1.0117813853105002,suppressed,False
AC135983.2,1,0.8226361198027092,suppressed,False
AC136475.1,1,1.3311745857449981,suppressed,False
AC136475.9,2,0.9907498385716607,fully_retained;suppressed,True
AC138150.1,1,0.3234813953606548,partially_retained,False
AC138409.1,1,0.7549860539019224,suppressed,False
AC138409.2,1,0.6137361516045605,partially_retained,False
AC139099.1,1,1.298771307128264,suppressed,False
AC139769.1,1,0.5466061854015472,partially_retained,False
AC145207.2,1,1.4791733706476093,suppressed,False
AC147067.1,1,0.8627433027107324,suppressed,False
AC156455.1,1,0.8566283624866429,suppressed,False
AC159540.2,1,0.5092853382154212,partially_retained,False
AC211476.5,1,1.1670101921773282,suppressed,False
AC211486.3,1,0.23458659453423614,fully_retained,False
AC232271.1,1,1.0939221592515211,suppressed,False
AC233266.2,2,-0.2977578414175822,enhanced_or_reprogrammed,True
AC233723.2,1,0.6751473125859824,partially_retained,False
AC233968.1,1,-0.04342692358404565,enhanced_or_reprogrammed,False
AC239804.1,1,0.1623603887644448,fully_retained,False
AC242426.2,1,0.28463558848136583,partially_retained,False
AC242842.3,1,0.4374463727578145,partially_retained,False
AC244517.5,2,-0.35199620597835524,enhanced_or_reprogrammed,True
AC245100.3,1,0.3313128779162876,partially_retained,False
ACAT2,1,0.7242437691931891,partially_retained,False
ACKR3,1,-0.30931844017527577,enhanced_or_reprogrammed,False
ACOT4,2,0.6522374799832402,partially_retained,True
ACOT7,1,0.18415061863621496,fully_retained,False
ACP3,1,0.48278162103912525,partially_retained,False
ACSF2,2,0.6752509489590794,partially_retained;suppressed,True
ACSL5,1,0.8248485403535328,suppressed,False
ACSM3,1,1.2497091949371326,suppressed,False
ACSS1,1,0.07184543774844343,fully_retained,False
ACTC1,2,0.3312801497867744,partially_retained,True
ACTG1P10,1,0.4189871822262766,partially_retained,False
ACTG1P17,1,0.814915638482601,suppressed,False
ACVR2B,1,0.17944769650953574,fully_retained,False
ACVR2B-AS1,1,0.7919252581205216,suppressed,False
ACYP1,1,-0.06402315944862647,enhanced_or_reprogrammed,False
ADAM12,1,0.4329415864820563,partially_retained,False
ADAM28,2,0.696294870304589,partially_retained;suppressed,True
ADAM33,1,0.4243508574563323,partially_retained,False
ADAM9,1,0.07443197991504857,fully_retained,False
ADAMTS1,1,1.042990032120127,suppressed,False
ADAMTS14,1,0.5020752862707034,partially_retained,False
ADAMTS15,2,0.2658767545736324,fully_retained;partially_retained,True
ADAMTS18,2,0.24229551087749618,fully_retained;partially_retained,True
ADAMTS19,1,1.19691481735107,suppressed,False
ADAMTS20,1,0.2067461043019092,fully_retained,False
ADAMTS3,1,0.21697629380267924,fully_retained,False
ADAMTS5,1,0.6599378204423743,partially_retained,False
ADAMTS8,1,0.33931709420049017,partially_retained,False
ADAMTS9-AS2,1,1.1822605321485158,suppressed,False
ADAMTSL1,1,0.8557666981089391,suppressed,False
ADAMTSL3,1,0.39448023965824364,partially_retained,False
ADCY1,2,0.8417493902433357,suppressed,False
ADCY8,1,0.8082430973307371,suppressed,False
ADGRD1,1,1.9299821853370702,suppressed,False
ADGRG6,2,0.4361220735547974,partially_retained,True
ADGRL1,1,0.35032255166365733,partially_retained,False
ADGRL4,2,0.6709339022103638,partially_retained,True
ADH1B,2,0.52665905144348,partially_retained,True
ADHFE1,2,0.8715704627839282,suppressed,False
ADIRF-AS1,1,0.9475781756804613,suppressed,False
ADM,1,0.15171279149143024,fully_retained,False
ADM2,2,0.7250087618111544,partially_retained;suppressed,True
ADNP-AS1,1,0.9986367453829387,suppressed,False
ADORA1,2,0.1281221262792182,fully_retained,True
ADORA2B,1,0.16230322791529472,fully_retained,False
