program,sample_id,available_genes,score,genotype,environment,treatment,replicate
MDK_dormancy_persistence,Pietrobon_S02,10,11.419951585910969,TSC2ko,hydrogel,vehicle,1
MDK_dormancy_persistence,Pietrobon_S03,10,10.946752260882786,WT,hydrogel,rapamycin,1
MDK_dormancy_persistence,Pietrobon_S04,10,11.365663162211913,TSC2ko,hydrogel,rapamycin,1
MDK_dormancy_persistence,Pietrobon_S05,10,11.074735877383647,WT,plastic,vehicle,1
MDK_dormancy_persistence,Pietrobon_S06,10,11.229455146343707,TSC2ko,plastic,vehicle,1
MDK_dormancy_persistence,Pietrobon_S07,10,10.957170536830027,WT,plastic,rapamycin,1
MDK_dormancy_persistence,Pietrobon_S08,10,10.964516351838059,TSC2ko,plastic,rapamycin,1
MDK_dormancy_persistence,Pietrobon_S09,10,11.054898770377829,WT,hydrogel,vehicle,2
MDK_dormancy_persistence,Pietrobon_S10,10,11.337577700602802,TSC2ko,hydrogel,vehicle,2
MDK_dormancy_persistence,Pietrobon_S11,10,10.975265502452958,WT,hydrogel,rapamycin,2
MDK_dormancy_persistence,Pietrobon_S12,10,11.157826977633018,TSC2ko,hydrogel,rapamycin,2
MDK_dormancy_persistence,Pietrobon_S13,10,10.973642051169495,WT,plastic,vehicle,2
MDK_dormancy_persistence,Pietrobon_S14,10,11.15962155874374,TSC2ko,plastic,vehicle,2
MDK_dormancy_persistence,Pietrobon_S15,10,10.952221684825663,WT,plastic,rapamycin,2
MDK_dormancy_persistence,Pietrobon_S16,10,11.025186779978288,TSC2ko,plastic,rapamycin,2
HOX_PBX,Pietrobon_S01,8,8.647813328373495,WT,hydrogel,vehicle,1
HOX_PBX,Pietrobon_S02,8,9.48895285851766,TSC2ko,hydrogel,vehicle,1
HOX_PBX,Pietrobon_S03,8,8.861630258545762,WT,hydrogel,rapamycin,1
HOX_PBX,Pietrobon_S04,8,9.681556365737883,TSC2ko,hydrogel,rapamycin,1
HOX_PBX,Pietrobon_S05,8,8.45116748474755,WT,plastic,vehicle,1
HOX_PBX,Pietrobon_S06,8,9.301142708497727,TSC2ko,plastic,vehicle,1
HOX_PBX,Pietrobon_S07,8,8.596797184572047,WT,plastic,rapamycin,1
HOX_PBX,Pietrobon_S08,8,9.4704459777724,TSC2ko,plastic,rapamycin,1
HOX_PBX,Pietrobon_S09,8,8.555271876701172,WT,hydrogel,vehicle,2
HOX_PBX,Pietrobon_S10,8,9.397588630354079,TSC2ko,hydrogel,vehicle,2
HOX_PBX,Pietrobon_S11,8,8.560174627803946,WT,hydrogel,rapamycin,2
HOX_PBX,Pietrobon_S12,8,9.73215434700629,TSC2ko,hydrogel,rapamycin,2
HOX_PBX,Pietrobon_S13,8,8.649456394936212,WT,plastic,vehicle,2
HOX_PBX,Pietrobon_S14,8,9.28586229449061,TSC2ko,plastic,vehicle,2
HOX_PBX,Pietrobon_S15,8,8.472209801915152,WT,plastic,rapamycin,2
HOX_PBX,Pietrobon_S16,8,9.644285807816594,TSC2ko,plastic,rapamycin,2
LAF_niche,Pietrobon_S01,10,12.2210492696172,WT,hydrogel,vehicle,1
LAF_niche,Pietrobon_S02,10,11.860748185168271,TSC2ko,hydrogel,vehicle,1
LAF_niche,Pietrobon_S03,10,12.362380761377839,WT,hydrogel,rapamycin,1
LAF_niche,Pietrobon_S04,10,12.316274367367631,TSC2ko,hydrogel,rapamycin,1
LAF_niche,Pietrobon_S05,10,12.048158745550655,WT,plastic,vehicle,1
LAF_niche,Pietrobon_S06,10,11.575249186359402,TSC2ko,plastic,vehicle,1
LAF_niche,Pietrobon_S07,10,12.150665683237818,WT,plastic,rapamycin,1
LAF_niche,Pietrobon_S08,10,11.940782008968347,TSC2ko,plastic,rapamycin,1
LAF_niche,Pietrobon_S09,10,12.367779506441256,WT,hydrogel,vehicle,2
LAF_niche,Pietrobon_S10,10,11.900799296692394,TSC2ko,hydrogel,vehicle,2
LAF_niche,Pietrobon_S11,10,12.701149112241342,WT,hydrogel,rapamycin,2
LAF_niche,Pietrobon_S12,10,12.469450374137034,TSC2ko,hydrogel,rapamycin,2
LAF_niche,Pietrobon_S13,10,12.408624655450982,WT,plastic,vehicle,2
LAF_niche,Pietrobon_S14,10,11.759004296926722,TSC2ko,plastic,vehicle,2
LAF_niche,Pietrobon_S15,10,12.322630740637322,WT,plastic,rapamycin,2
LAF_niche,Pietrobon_S16,10,12.148327236677993,TSC2ko,plastic,rapamycin,2
macrophage_TREM2_TYROBP,Pietrobon_S01,10,3.0292072845305493,WT,hydrogel,vehicle,1
macrophage_TREM2_TYROBP,Pietrobon_S02,10,3.4923574751475415,TSC2ko,hydrogel,vehicle,1
macrophage_TREM2_TYROBP,Pietrobon_S03,10,2.995924911111879,WT,hydrogel,rapamycin,1
macrophage_TREM2_TYROBP,Pietrobon_S04,10,3.0712726534614943,TSC2ko,hydrogel,rapamycin,1
macrophage_TREM2_TYROBP,Pietrobon_S05,10,2.783216379226844,WT,plastic,vehicle,1
macrophage_TREM2_TYROBP,Pietrobon_S06,10,3.1073038234383716,TSC2ko,plastic,vehicle,1
macrophage_TREM2_TYROBP,Pietrobon_S07,10,2.7076098682011334,WT,plastic,rapamycin,1
macrophage_TREM2_TYROBP,Pietrobon_S08,10,2.846153023320816,TSC2ko,plastic,rapamycin,1
macrophage_TREM2_TYROBP,Pietrobon_S09,10,3.1619490509999237,WT,hydrogel,vehicle,2
macrophage_TREM2_TYROBP,Pietrobon_S10,10,3.6587385680887947,TSC2ko,hydrogel,vehicle,2
macrophage_TREM2_TYROBP,Pietrobon_S11,10,3.074270007932291,WT,hydrogel,rapamycin,2
macrophage_TREM2_TYROBP,Pietrobon_S12,10,3.3153596087874115,TSC2ko,hydrogel,rapamycin,2
macrophage_TREM2_TYROBP,Pietrobon_S13,10,2.967076409757835,WT,plastic,vehicle,2
macrophage_TREM2_TYROBP,Pietrobon_S14,10,3.291953399989444,TSC2ko,plastic,vehicle,2
macrophage_TREM2_TYROBP,Pietrobon_S15,10,2.7747882082877138,WT,plastic,rapamycin,2
macrophage_TREM2_TYROBP,Pietrobon_S16,10,3.0211034777106733,TSC2ko,plastic,rapamycin,2
TGFbeta_fibroblast,Pietrobon_S01,8,13.295780770649259,WT,hydrogel,vehicle,1
TGFbeta_fibroblast,Pietrobon_S02,8,13.46562031422344,TSC2ko,hydrogel,vehicle,1
TGFbeta_fibroblast,Pietrobon_S03,8,13.404266113407337,WT,hydrogel,rapamycin,1
TGFbeta_fibroblast,Pietrobon_S04,8,13.35111673156365,TSC2ko,hydrogel,rapamycin,1
TGFbeta_fibroblast,Pietrobon_S05,8,13.721092224262899,WT,plastic,vehicle,1
TGFbeta_fibroblast,Pietrobon_S06,8,13.701623677902738,TSC2ko,plastic,vehicle,1
TGFbeta_fibroblast,Pietrobon_S07,8,13.774534518662183,WT,plastic,rapamycin,1
TGFbeta_fibroblast,Pietrobon_S08,8,13.702851683444738,TSC2ko,plastic,rapamycin,1
TGFbeta_fibroblast,Pietrobon_S09,8,13.363402806575364,WT,hydrogel,vehicle,2
TGFbeta_fibroblast,Pietrobon_S10,8,13.559538806661237,TSC2ko,hydrogel,vehicle,2
TGFbeta_fibroblast,Pietrobon_S11,8,13.400396058187987,WT,hydrogel,rapamycin,2
TGFbeta_fibroblast,Pietrobon_S12,8,13.582567468567637,TSC2ko,hydrogel,rapamycin,2
TGFbeta_fibroblast,Pietrobon_S13,8,13.76746413757517,WT,plastic,vehicle,2
TGFbeta_fibroblast,Pietrobon_S14,8,13.831736436215213,TSC2ko,plastic,vehicle,2
TGFbeta_fibroblast,Pietrobon_S15,8,13.8679720596722,WT,plastic,rapamycin,2
TGFbeta_fibroblast,Pietrobon_S16,8,13.845542066753975,TSC2ko,plastic,rapamycin,2
IL6_AT2_repair,Pietrobon_S01,10,7.122175780494127,WT,hydrogel,vehicle,1
IL6_AT2_repair,Pietrobon_S02,10,7.892276865354562,TSC2ko,hydrogel,vehicle,1
IL6_AT2_repair,Pietrobon_S03,10,7.0458657192076855,WT,hydrogel,rapamycin,1
IL6_AT2_repair,Pietrobon_S04,10,7.437565141030808,TSC2ko,hydrogel,rapamycin,1
IL6_AT2_repair,Pietrobon_S05,10,7.46588738309403,WT,plastic,vehicle,1
IL6_AT2_repair,Pietrobon_S06,10,7.884611185064959,TSC2ko,plastic,vehicle,1
IL6_AT2_repair,Pietrobon_S07,10,7.314111921598308,WT,plastic,rapamycin,1
IL6_AT2_repair,Pietrobon_S08,10,7.53743192248101,TSC2ko,plastic,rapamycin,1
IL6_AT2_repair,Pietrobon_S09,10,7.126328997987789,WT,hydrogel,vehicle,2
IL6_AT2_repair,Pietrobon_S10,10,7.917592045035758,TSC2ko,hydrogel,vehicle,2
IL6_AT2_repair,Pietrobon_S11,10,6.959901617123299,WT,hydrogel,rapamycin,2
IL6_AT2_repair,Pietrobon_S12,10,7.390928114187902,TSC2ko,hydrogel,rapamycin,2
IL6_AT2_repair,Pietrobon_S13,10,7.370731345345528,WT,plastic,vehicle,2
IL6_AT2_repair,Pietrobon_S14,10,7.804863085675088,TSC2ko,plastic,vehicle,2
IL6_AT2_repair,Pietrobon_S15,10,7.272983248330306,WT,plastic,rapamycin,2
IL6_AT2_repair,Pietrobon_S16,10,7.502667976544264,TSC2ko,plastic,rapamycin,2
protease_ECM_niche,Pietrobon_S01,11,8.567393487599842,WT,hydrogel,vehicle,1
protease_ECM_niche,Pietrobon_S02,11,8.774876380819208,TSC2ko,hydrogel,vehicle,1
protease_ECM_niche,Pietrobon_S03,11,8.561958215887849,WT,hydrogel,rapamycin,1
protease_ECM_niche,Pietrobon_S04,11,8.66997460238993,TSC2ko,hydrogel,rapamycin,1
protease_ECM_niche,Pietrobon_S05,11,8.122036498692852,WT,plastic,vehicle,1
protease_ECM_niche,Pietrobon_S06,11,8.267099381116788,TSC2ko,plastic,vehicle,1
protease_ECM_niche,Pietrobon_S07,11,7.9942799570497165,WT,plastic,rapamycin,1
protease_ECM_niche,Pietrobon_S08,11,8.18845187158415,TSC2ko,plastic,rapamycin,1
protease_ECM_niche,Pietrobon_S09,11,8.527203687395943,WT,hydrogel,vehicle,2
protease_ECM_niche,Pietrobon_S10,11,8.99472280856254,TSC2ko,hydrogel,vehicle,2
protease_ECM_niche,Pietrobon_S11,11,8.635929648854896,WT,hydrogel,rapamycin,2
protease_ECM_niche,Pietrobon_S12,11,8.8651347113042,TSC2ko,hydrogel,rapamycin,2
protease_ECM_niche,Pietrobon_S13,11,8.371316504238035,WT,plastic,vehicle,2
protease_ECM_niche,Pietrobon_S14,11,8.575330298842992,TSC2ko,plastic,vehicle,2
protease_ECM_niche,Pietrobon_S15,11,8.190798009398938,WT,plastic,rapamycin,2
protease_ECM_niche,Pietrobon_S16,11,8.328646324420099,TSC2ko,plastic,rapamycin,2
hormone_related,Pietrobon_S01,7,4.633902776453401,WT,hydrogel,vehicle,1
hormone_related,Pietrobon_S02,7,5.06183018877146,TSC2ko,hydrogel,vehicle,1
hormone_related,Pietrobon_S03,7,4.570817768372399,WT,hydrogel,rapamycin,1
hormone_related,Pietrobon_S04,7,4.559827137791182,TSC2ko,hydrogel,rapamycin,1
hormone_related,Pietrobon_S05,7,4.530554456986772,WT,plastic,vehicle,1
hormone_related,Pietrobon_S06,7,4.706632555156839,TSC2ko,plastic,vehicle,1
hormone_related,Pietrobon_S07,7,4.616891402495382,WT,plastic,rapamycin,1
hormone_related,Pietrobon_S08,7,4.664222140575633,TSC2ko,plastic,rapamycin,1
hormone_related,Pietrobon_S09,7,4.718172926725968,WT,hydrogel,vehicle,2
hormone_related,Pietrobon_S10,7,4.85827858668628,TSC2ko,hydrogel,vehicle,2
hormone_related,Pietrobon_S11,7,4.554914994827079,WT,hydrogel,rapamycin,2
hormone_related,Pietrobon_S12,7,4.615706225855763,TSC2ko,hydrogel,rapamycin,2
hormone_related,Pietrobon_S13,7,4.874473675400429,WT,plastic,vehicle,2
hormone_related,Pietrobon_S14,7,4.693261259270955,TSC2ko,plastic,vehicle,2
hormone_related,Pietrobon_S15,7,4.49928312536541,WT,plastic,rapamycin,2
hormone_related,Pietrobon_S16,7,4.642744225324413,TSC2ko,plastic,rapamycin,2
hypoxia_stress,Pietrobon_S01,10,10.622310820387403,WT,hydrogel,vehicle,1
hypoxia_stress,Pietrobon_S02,10,12.164231534046305,TSC2ko,hydrogel,vehicle,1
hypoxia_stress,Pietrobon_S03,10,10.386013786836003,WT,hydrogel,rapamycin,1
hypoxia_stress,Pietrobon_S04,10,10.924386533575907,TSC2ko,hydrogel,rapamycin,1
hypoxia_stress,Pietrobon_S05,10,11.062107459515243,WT,plastic,vehicle,1
hypoxia_stress,Pietrobon_S06,10,12.186884345373857,TSC2ko,plastic,vehicle,1
hypoxia_stress,Pietrobon_S07,10,10.654318771688562,WT,plastic,rapamycin,1
hypoxia_stress,Pietrobon_S08,10,10.834760070550661,TSC2ko,plastic,rapamycin,1
hypoxia_stress,Pietrobon_S09,10,10.497263270290896,WT,hydrogel,vehicle,2
hypoxia_stress,Pietrobon_S10,10,12.059382170412594,TSC2ko,hydrogel,vehicle,2
hypoxia_stress,Pietrobon_S11,10,10.355746402578342,WT,hydrogel,rapamycin,2
hypoxia_stress,Pietrobon_S12,10,10.980646964328571,TSC2ko,hydrogel,rapamycin,2
hypoxia_stress,Pietrobon_S13,10,10.83599093763222,WT,plastic,vehicle,2
hypoxia_stress,Pietrobon_S14,10,12.214941848374048,TSC2ko,plastic,vehicle,2
